candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
5vl3_C+D|S_3,U:U,5VL3,3.1,xray,C:D,S,5VKK,2.01,xray,A:B,5VKJ,2.12,xray,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5vl3_E+F|T_2,U:U,5VL3,3.1,xray,E:F,T,5VKK,2.01,xray,H:L,5VKJ,2.12,xray,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5vl3_H+L|Q_0,U:U,5VL3,3.1,xray,H:L,Q,5VKK,2.01,xray,H:L,5VKM,2.2,xray,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5vl3_H+L|Q_1,U:U,5VL3,3.1,xray,H:L,Q,5VKK,2.01,xray,A:B,5VKM,2.2,xray,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5vl3_E+F|T_1,U:U,5VL3,3.1,xray,E:F,T,5VKK,2.01,xray,A:B,5VKM,2.2,xray,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5vl3_H+L|Q_2,U:U,5VL3,3.1,xray,H:L,Q,5VKK,2.01,xray,H:L,5VKJ,2.12,xray,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5vl3_H+L|Q_3,U:U,5VL3,3.1,xray,H:L,Q,5VKK,2.01,xray,A:B,5VKJ,2.12,xray,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5vl3_E+F|T_3,U:U,5VL3,3.1,xray,E:F,T,5VKK,2.01,xray,A:B,5VKJ,2.12,xray,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5vl3_C+D|S_0,U:U,5VL3,3.1,xray,C:D,S,5VKK,2.01,xray,H:L,5VKM,2.2,xray,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5vl3_C+D|S_1,U:U,5VL3,3.1,xray,C:D,S,5VKK,2.01,xray,A:B,5VKM,2.2,xray,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5vl3_E+F|T_0,U:U,5VL3,3.1,xray,E:F,T,5VKK,2.01,xray,H:L,5VKM,2.2,xray,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
