candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5hgg_S|B_8,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,A,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_16,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,A,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_12,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,A,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_4,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,A,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_5,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,B,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_6,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,C,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_7,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,D,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_8,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,A,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_9,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,B,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_10,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,C,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_4,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,A,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_5,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,B,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_6,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,C,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_7,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,D,5YC6,1.18,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_9,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,B,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_10,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,C,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_11,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,D,5Z1C,1.45,xray,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_0,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,A,5ZAJ,1.65,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_1,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,B,5ZAJ,1.65,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_3,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,D,5ZAJ,1.65,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_12,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,A,6AG9,1.63,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_13,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,B,6AG9,1.63,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_14,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,C,6AG9,1.63,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_15,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,D,6AG9,1.63,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_17,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,B,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_18,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,C,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_T|A_19,U:U,5HGG,1.97,xray,T,A,5HDO,2.16,xray,D,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_0,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,A,4FU9,1.6,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_1,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,B,4FU9,1.6,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_2,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,C,4FU9,1.6,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_3,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,D,4FU9,1.6,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_13,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,B,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_14,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,C,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hgg_S|B_15,U:U,5HGG,1.97,xray,S,B,5HDO,2.16,xray,D,5ZA9,1.62,xray,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
