candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
5sv3_C|D_1,U:U,5SV3,100.0,UNKNOWN,C,D,5SV4,2.7,xray,B,3MK9,2.08,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_C|D_2,U:U,5SV3,100.0,UNKNOWN,C,D,5SV4,2.7,xray,A,3LC9,2.28,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_C|D_3,U:U,5SV3,100.0,UNKNOWN,C,D,5SV4,2.7,xray,B,3LC9,2.28,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_C|D_4,U:U,5SV3,100.0,UNKNOWN,C,D,5SV4,2.7,xray,A,4IMV,2.25,xray,A,0,3,NA,0,0,0,0,0,0,0,0
5sv3_C|D_5,U:U,5SV3,100.0,UNKNOWN,C,D,5SV4,2.7,xray,B,4IMV,2.25,xray,A,0,3,NA,0,0,0,0,0,0,0,0
5sv3_A|B_0,U:U,5SV3,2.73,xray,A,B,5SV4,2.7,xray,A,3LC9,2.28,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_A|B_1,U:U,5SV3,2.73,xray,A,B,5SV4,2.7,xray,B,3LC9,2.28,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_A|B_2,U:U,5SV3,2.73,xray,A,B,5SV4,2.7,xray,A,3MK9,2.08,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_A|B_3,U:U,5SV3,2.73,xray,A,B,5SV4,2.7,xray,B,3MK9,2.08,xray,A,0,2,NA,0,0,0,0,0,0,0,0
5sv3_A|B_4,U:U,5SV3,2.73,xray,A,B,5SV4,2.7,xray,A,4IMV,2.25,xray,A,0,3,NA,0,0,0,0,0,0,0,0
5sv3_A|B_5,U:U,5SV3,2.73,xray,A,B,5SV4,2.7,xray,B,4IMV,2.25,xray,A,0,3,NA,0,0,0,0,0,0,0,0
