comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
5vl3_A+B|R,U:U,0,5VL3,A:B,R,5VKK,H:L,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2
5vl3_C+D|S,U:U,2,5VL3,C:D,S,5VKK,H:L,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2
5vl3_E+F|T,U:U,0,5VL3,E:F,T,5VKK,H:L,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2
5vl3_H+L|Q,U:U,2,5VL3,H:L,Q,5VKK,H:L,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,4
5vl3_A+B|R,U:U,2,5VL3,A:B,R,5VKK,H:L,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,4
5vl3_C+D|S,U:U,0,5VL3,C:D,S,5VKK,H:L,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,4
5vl3_E+F|T,U:U,2,5VL3,E:F,T,5VKK,H:L,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,4
5vl3_H+L|Q,U:U,1,5VL3,H:L,Q,5VKK,A:B,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,1,0,3
5vl3_A+B|R,U:U,1,5VL3,A:B,R,5VKK,A:B,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,1,0,3
5vl3_C+D|S,U:U,3,5VL3,C:D,S,5VKK,A:B,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,1,0,3
5vl3_E+F|T,U:U,1,5VL3,E:F,T,5VKK,A:B,5VKJ,A,0,5,small molecules with 7 < n_atoms <= 15 detected,0,1,0,3
5vl3_H+L|Q,U:U,3,5VL3,H:L,Q,5VKK,A:B,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,1,0,5
5vl3_A+B|R,U:U,3,5VL3,A:B,R,5VKK,A:B,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,1,0,5
5vl3_C+D|S,U:U,1,5VL3,C:D,S,5VKK,A:B,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,1,0,5
5vl3_E+F|T,U:U,3,5VL3,E:F,T,5VKK,A:B,5VKM,A,0,5,small molecules with n_atoms > 15 detected,0,1,0,5
