comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
6a4k_I+M|B,U:U,1,6A4K,I:M,B,6JP7,H:L,3UYW,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_I+M|B,U:U,2,6A4K,I:M,B,6JP7,H:L,3UYW,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_I+M|B,U:U,3,6A4K,I:M,B,6JP7,H:L,3UYW,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_I+M|B,U:U,6,6A4K,I:M,B,6JP7,H:L,3MLH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2
6a4k_I+M|B,U:U,7,6A4K,I:M,B,6JP7,H:L,3MLH,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,3
6a4k_H+L|A,U:U,0,6A4K,H:L,A,6JP7,H:L,3UYW,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_H+L|A,U:U,1,6A4K,H:L,A,6JP7,H:L,3UYW,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_H+L|A,U:U,2,6A4K,H:L,A,6JP7,H:L,3UYW,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_H+L|A,U:U,3,6A4K,H:L,A,6JP7,H:L,3UYW,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_H+L|A,U:U,6,6A4K,H:L,A,6JP7,H:L,3MLH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2
6a4k_H+L|A,U:U,7,6A4K,H:L,A,6JP7,H:L,3MLH,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,3
6a4k_J+N|C,U:U,0,6A4K,J:N,C,6JP7,H:L,3UYW,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_J+N|C,U:U,1,6A4K,J:N,C,6JP7,H:L,3UYW,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_J+N|C,U:U,2,6A4K,J:N,C,6JP7,H:L,3UYW,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_J+N|C,U:U,3,6A4K,J:N,C,6JP7,H:L,3UYW,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_J+N|C,U:U,6,6A4K,J:N,C,6JP7,H:L,3MLH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2
6a4k_J+N|C,U:U,7,6A4K,J:N,C,6JP7,H:L,3MLH,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,3
6a4k_K+O|D,U:U,0,6A4K,K:O,D,6JP7,H:L,3UYW,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_K+O|D,U:U,1,6A4K,K:O,D,6JP7,H:L,3UYW,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_K+O|D,U:U,2,6A4K,K:O,D,6JP7,H:L,3UYW,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_K+O|D,U:U,3,6A4K,K:O,D,6JP7,H:L,3UYW,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0
6a4k_K+O|D,U:U,6,6A4K,K:O,D,6JP7,H:L,3MLH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2
6a4k_K+O|D,U:U,7,6A4K,K:O,D,6JP7,H:L,3MLH,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,3
6a4k_I+M|B,U:U,4,6A4K,I:M,B,6JP7,H:L,3UYX,A,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_I+M|B,U:U,5,6A4K,I:M,B,6JP7,H:L,3UYX,B,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_H+L|A,U:U,4,6A4K,H:L,A,6JP7,H:L,3UYX,A,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_H+L|A,U:U,5,6A4K,H:L,A,6JP7,H:L,3UYX,B,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_J+N|C,U:U,4,6A4K,J:N,C,6JP7,H:L,3UYX,A,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_J+N|C,U:U,5,6A4K,J:N,C,6JP7,H:L,3UYX,B,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_K+O|D,U:U,4,6A4K,K:O,D,6JP7,H:L,3UYX,A,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
6a4k_K+O|D,U:U,5,6A4K,K:O,D,6JP7,H:L,3UYX,B,0,2,small molecules with n_atoms > 15 detected,0,0,0,1
