candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
3l5w_B+A|J_1,U:U,3L5W,2.0,xray,B:A,J,3L7E,2.5,xray,B:A,1GA3,10,UNKNOWN,A,0,0,NA,0,2,0,4,0,0,0,2,0.325,0.314,0.678
3l5x_H+L|A_0,U:U,3L5X,1.9,xray,H:L,A,3L7F,2.6,xray,H:L,1GA3,10,UNKNOWN,A,0,0,NA,0,2,0,3,0,0,0,3,0.443,0.539,1.062
3l5x_H+L|A_1,U:U,3L5X,1.9,xray,H:L,A,3L7F,2.6,xray,B:A,1GA3,10,UNKNOWN,A,0,0,NA,0,2,0,3,0,0,0,3,0.301,0.292,0.95
3l5x_H+L|A_2,U:U,3L5X,1.9,xray,H:L,A,3L7F,2.6,xray,E:D,1GA3,10,UNKNOWN,A,0,0,NA,0,2,0,3,0,0,0,3,0.352,0.342,0.972
3l5w_H+L|I_0,U:U,3L5W,2.0,xray,H:L,I,3L7E,2.5,xray,H:L,1GA3,10,UNKNOWN,A,0,0,NA,0,2,0,4,0,0,0,2,0.001,0.001,0.001
3l5w_H+L|I_1,U:U,3L5W,2.0,xray,H:L,I,3L7E,2.5,xray,B:A,1GA3,10,UNKNOWN,A,0,0,NA,0,2,0,4,0,0,0,2,0.325,0.315,0.675
