candidate_name,type,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4rfn_B+C|A_1,U:U,4RFN,B:C,A,4RFE,A:B,4DKP,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_2,U:U,4RFN,B:C,A,4RFE,C:D,4DKP,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
4rfn_B+C|A_3,U:U,4RFN,B:C,A,4RFE,E:F,4DKP,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
4rfn_B+C|A_4,U:U,4RFN,B:C,A,4RFE,H:L,4DKP,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_5,U:U,4RFN,B:C,A,4RFE,A:B,4DKP,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_6,U:U,4RFN,B:C,A,4RFE,C:D,4DKP,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
4rfn_B+C|A_7,U:U,4RFN,B:C,A,4RFE,E:F,4DKP,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
4rfn_B+C|A_8,U:U,4RFN,B:C,A,4RFE,H:L,4DKR,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_9,U:U,4RFN,B:C,A,4RFE,A:B,4DKR,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_10,U:U,4RFN,B:C,A,4RFE,C:D,4DKR,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
4rfn_B+C|A_11,U:U,4RFN,B:C,A,4RFE,E:F,4DKR,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
4rfn_B+C|A_12,U:U,4RFN,B:C,A,4RFE,H:L,4DKR,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_13,U:U,4RFN,B:C,A,4RFE,A:B,4DKR,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,7
4rfn_B+C|A_14,U:U,4RFN,B:C,A,4RFE,C:D,4DKR,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,4,0,1,0,6
