candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
5th9_H+L|A_1,B:U,5TH9,3.0,xray,H:L,A,5th9,3.0,xray,H:L,5UE3,1.6,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5th9_H+L|A_2,B:U,5TH9,3.0,xray,H:L,A,5th9,3.0,xray,H:L,5TH6,1.7,xray,A,0,0,NA,0,0,0,0,0,0,0,0
5th9_H+L|A_3,B:U,5TH9,3.0,xray,H:L,A,5th9,3.0,xray,H:L,5TH6,1.7,xray,B,0,0,NA,0,0,0,0,0,0,0,0
5th9_H+L|A_4,B:U,5TH9,3.0,xray,H:L,A,5th9,3.0,xray,H:L,5TH6,1.7,xray,C,0,0,NA,0,0,0,0,0,0,0,0
5th9_H+L|A_5,B:U,5TH9,3.0,xray,H:L,A,5th9,3.0,xray,H:L,5TH6,1.7,xray,D,0,0,NA,0,0,0,0,0,0,0,0
5th9_H+L|A_7,B:U,5TH9,3.0,xray,H:L,A,5th9,3.0,xray,H:L,5UE4,1.8,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5th9_J+N|C_0,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5UE4,1.8,xray,A,0,0,NA,0,0,0,0,0,0,0,0
5th9_J+N|C_1,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5UE4,1.8,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5th9_J+N|C_2,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5UE3,1.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0
5th9_J+N|C_3,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5UE3,1.6,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
5th9_J+N|C_4,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5TH6,1.7,xray,A,0,0,NA,0,0,0,0,0,0,0,0
5th9_J+N|C_5,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5TH6,1.7,xray,B,0,0,NA,0,0,0,0,0,0,0,0
5th9_J+N|C_6,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5TH6,1.7,xray,C,0,0,NA,0,0,0,0,0,0,0,0
5th9_J+N|C_7,B:U,5TH9,3.0,xray,J:N,C,5th9,3.0,xray,J:N,5TH6,1.7,xray,D,0,0,NA,0,0,0,0,0,0,0,0
