candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6gjq_B|A_4,B:U,6GJQ,2.49,xray,B,A,6gjq,2.49,xray,B,2PZE,1.7,xray,B,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_2,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,5TFJ,1.85,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_6,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,5TFA,1.87,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_5,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,2PZE,1.7,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_2,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,2PZG,1.8,xray,B,0,24,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_B|A_3,B:U,6GJQ,2.49,xray,B,A,6gjq,2.49,xray,B,2PZE,1.7,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_B|A_5,B:U,6GJQ,2.49,xray,B,A,6gjq,2.49,xray,B,5TF8,1.86,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_B|A_6,B:U,6GJQ,2.49,xray,B,A,6gjq,2.49,xray,B,5TFJ,1.85,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_0,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,2PZE,1.7,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_1,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,2PZE,1.7,xray,B,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_5,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,5TF8,1.86,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_0,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,5TF8,1.86,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_3,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,5TFB,1.87,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_4,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,5TFJ,1.85,xray,A,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_6,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,2PZE,1.7,xray,B,0,18,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_B|A_0,B:U,6GJQ,2.49,xray,B,A,6gjq,2.49,xray,B,2PZG,1.8,xray,A,0,24,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_B|A_1,B:U,6GJQ,2.49,xray,B,A,6gjq,2.49,xray,B,2PZG,1.8,xray,B,0,24,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_3,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,2PZG,1.8,xray,A,0,24,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_D|C_4,B:U,6GJQ,2.49,xray,D,C,6gjq,2.49,xray,D,2PZG,1.8,xray,B,0,24,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gjq_H|G_1,B:U,6GJQ,2.49,xray,H,G,6gjq,2.49,xray,H,2PZG,1.8,xray,A,0,24,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
