candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5usf_C|B_1,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0J,2.89,xray,B,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_6,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0H,3.0,xray,A,0,21,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_5,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0H,3.0,xray,B,0,21,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_0,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0J,2.89,xray,A,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_1,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0J,2.89,xray,B,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_2,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0J,2.89,xray,C,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_4,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0I,3.13,xray,A,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_5,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0I,3.13,xray,B,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_0,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0J,2.89,xray,A,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_2,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0J,2.89,xray,C,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_3,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0J,2.89,xray,D,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_6,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0I,3.13,xray,A,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_7,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0I,3.13,xray,B,0,21,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_D|A_7,B:U,5USF,2.75,xray,D,A,5usf,2.75,xray,D,3P0H,3.0,xray,B,0,21,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5usf_C|B_4,B:U,5USF,2.75,xray,C,B,5usf,2.75,xray,C,3P0H,3.0,xray,A,0,21,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
