candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4iof_E+F|B_0,B:U,4IOF,3.35,xray,E:F,B,4iof,3.35,xray,E:F,3P7L,2.08,xray,A,0,45,NA,0,0,0,0,0,0,0,0
4iof_E+F|B_1,B:U,4IOF,3.35,xray,E:F,B,4iof,3.35,xray,E:F,4GSF,2.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
4iof_E+F|B_2,B:U,4IOF,3.35,xray,E:F,B,4iof,3.35,xray,E:F,4GSF,2.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
4m1c_E+F|B_0,B:U,4M1C,3.5,xray,E:F,B,4m1c,3.5,xray,E:F,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
4m1c_E+F|B_1,B:U,4M1C,3.5,xray,E:F,B,4m1c,3.5,xray,E:F,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
4m1c_E+F|B_2,B:U,4M1C,3.5,xray,E:F,B,4m1c,3.5,xray,E:F,3P7L,2.08,xray,A,0,46,NA,0,0,0,0,0,0,0,0
4m1c_C+D|A_0,B:U,4M1C,3.5,xray,C:D,A,4m1c,3.5,xray,C:D,3P7L,2.08,xray,A,0,46,NA,0,0,0,0,0,0,0,0
4m1c_C+D|A_1,B:U,4M1C,3.5,xray,C:D,A,4m1c,3.5,xray,C:D,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
4m1c_C+D|A_2,B:U,4M1C,3.5,xray,C:D,A,4m1c,3.5,xray,C:D,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_I+J|A_1,B:U,5WOB,3.95,xray,I:J,A,5wob,3.95,xray,I:J,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_I+J|A_2,B:U,5WOB,3.95,xray,I:J,A,5wob,3.95,xray,I:J,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_O+P|D_0,B:U,5WOB,3.95,xray,O:P,D,5wob,3.95,xray,O:P,3P7L,2.08,xray,A,0,46,NA,0,0,0,0,0,0,0,0
5wob_O+P|D_1,B:U,5WOB,3.95,xray,O:P,D,5wob,3.95,xray,O:P,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_O+P|D_2,B:U,5WOB,3.95,xray,O:P,D,5wob,3.95,xray,O:P,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_Q+R|E_0,B:U,5WOB,3.95,xray,Q:R,E,5wob,3.95,xray,Q:R,3P7L,2.08,xray,A,0,46,NA,0,0,0,0,0,0,0,0
5wob_Q+R|E_1,B:U,5WOB,3.95,xray,Q:R,E,5wob,3.95,xray,Q:R,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_Q+R|E_2,B:U,5WOB,3.95,xray,Q:R,E,5wob,3.95,xray,Q:R,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_K+L|B_0,B:U,5WOB,3.95,xray,K:L,B,5wob,3.95,xray,K:L,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_K+L|B_1,B:U,5WOB,3.95,xray,K:L,B,5wob,3.95,xray,K:L,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_K+L|B_2,B:U,5WOB,3.95,xray,K:L,B,5wob,3.95,xray,K:L,3P7L,2.08,xray,A,0,46,NA,0,0,0,0,0,0,0,0
5wob_W+X|H_0,B:U,5WOB,3.95,xray,W:X,H,5wob,3.95,xray,W:X,3P7L,2.08,xray,A,0,46,NA,0,0,0,0,0,0,0,0
5wob_W+X|H_1,B:U,5WOB,3.95,xray,W:X,H,5wob,3.95,xray,W:X,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_W+X|H_2,B:U,5WOB,3.95,xray,W:X,H,5wob,3.95,xray,W:X,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_M+N|C_0,B:U,5WOB,3.95,xray,M:N,C,5wob,3.95,xray,M:N,4GSF,2.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5wob_M+N|C_1,B:U,5WOB,3.95,xray,M:N,C,5wob,3.95,xray,M:N,4GSF,2.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
