candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6mfp_H+L|G_1,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,A:B,4DKR,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.371,0.359,0.728
6mfp_H+L|G_2,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,H:L,4DKR,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.175,0.171,0.946
6mfp_H+L|G_3,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,A:B,4DKR,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.412,0.4,1.233
6mfp_H+L|G_4,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,H:L,4DKP,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.067,0.064,0.563
6mfp_H+L|G_5,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,A:B,4DKP,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.377,0.365,0.922
6mfp_H+L|G_6,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,H:L,4DKP,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.147,0.144,0.974
6mfp_H+L|G_7,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,A:B,4DKP,1.8,xray,C,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.4,0.388,1.222
6mfp_H+L|G_8,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,H:L,4DKQ,1.89,xray,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.19,0.174,0.815
6mfp_H+L|G_9,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,A:B,4DKQ,1.89,xray,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.419,0.401,1.097
6mfp_H+L|G_10,U:U,6MFP,3.0,xray,H:L,G,6MFJ,2.62,xray,H:L,4RZ8,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,1,0,3,0,0,0,2,0.193,0.184,0.849
