candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
3jab_H+L|C_7,U:U,3JAB,11.0,electronMicroscopy,H:L,C,12E8,1.9,xray,P:M,3JWQ,2.87,xray,D,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_0,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,H:L,3JWQ,2.87,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_7,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,P:M,3JWQ,2.87,xray,D,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_H+L|C_0,U:U,3JAB,11.0,electronMicroscopy,H:L,C,12E8,1.9,xray,H:L,3JWQ,2.87,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_H+L|C_1,U:U,3JAB,11.0,electronMicroscopy,H:L,C,12E8,1.9,xray,P:M,3JWQ,2.87,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_H+L|C_2,U:U,3JAB,11.0,electronMicroscopy,H:L,C,12E8,1.9,xray,H:L,3JWQ,2.87,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_H+L|C_3,U:U,3JAB,11.0,electronMicroscopy,H:L,C,12E8,1.9,xray,P:M,3JWQ,2.87,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_H+L|C_6,U:U,3JAB,11.0,electronMicroscopy,H:L,C,12E8,1.9,xray,H:L,3JWQ,2.87,xray,D,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_1,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,P:M,3JWQ,2.87,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_2,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,H:L,3JWQ,2.87,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_3,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,P:M,3JWQ,2.87,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_4,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,H:L,3JWQ,2.87,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_5,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,P:M,3JWQ,2.87,xray,C,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jab_Q+R|O_6,U:U,3JAB,11.0,electronMicroscopy,Q:R,O,12E8,1.9,xray,H:L,3JWQ,2.87,xray,D,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
