candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4fqv_I+M|F+E_11,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,A:B,4LN6,2.12,xray,L:K,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_H+L|B+A_8,U:U,4FQV,5.75,xray,H:L,B:A,4FQH,2.05,xray,H:L,4LN6,2.12,xray,J:I,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_H+L|B+A_11,U:U,4FQV,5.75,xray,H:L,B:A,4FQH,2.05,xray,A:B,4LN6,2.12,xray,L:K,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_0,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,H:L,4LN6,2.12,xray,B:A,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_1,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,A:B,4LN6,2.12,xray,B:A,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_2,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,H:L,4LN6,2.12,xray,D:C,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_3,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,A:B,4LN6,2.12,xray,D:C,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_4,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,H:L,4LN6,2.12,xray,F:E,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_5,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,A:B,4LN6,2.12,xray,F:E,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_6,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,H:L,4LN6,2.12,xray,H:G,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_7,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,A:B,4LN6,2.12,xray,H:G,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_8,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,H:L,4LN6,2.12,xray,J:I,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_I+M|F+E_10,U:U,4FQV,5.75,xray,I:M,F:E,4FQH,2.05,xray,H:L,4LN6,2.12,xray,L:K,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4fqv_H+L|B+A_0,U:U,4FQV,5.75,xray,H:L,B:A,4FQH,2.05,xray,H:L,4LN6,2.12,xray,B:A,0,20,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
