candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6eyo_H+L|A_4,U:U,6EYO,3.7,xray,H:L,A,6EYN,2.4,xray,B:A,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_I+M|B_2,U:U,6EYO,3.7,xray,I:M,B,6EYN,2.4,xray,D:C,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_I+M|B_4,U:U,6EYO,3.7,xray,I:M,B,6EYN,2.4,xray,B:A,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_H+L|A_0,U:U,6EYO,3.7,xray,H:L,A,6EYN,2.4,xray,H:L,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_H+L|A_1,U:U,6EYO,3.7,xray,H:L,A,6EYN,2.4,xray,B:A,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_H+L|A_2,U:U,6EYO,3.7,xray,H:L,A,6EYN,2.4,xray,D:C,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_H+L|A_5,U:U,6EYO,3.7,xray,H:L,A,6EYN,2.4,xray,D:C,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_I+M|B_0,U:U,6EYO,3.7,xray,I:M,B,6EYN,2.4,xray,H:L,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_I+M|B_1,U:U,6EYO,3.7,xray,I:M,B,6EYN,2.4,xray,B:A,5LGJ,2.6,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_I+M|B_3,U:U,6EYO,3.7,xray,I:M,B,6EYN,2.4,xray,H:L,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
6eyo_I+M|B_5,U:U,6EYO,3.7,xray,I:M,B,6EYN,2.4,xray,D:C,5LGJ,2.6,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
