candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4hkx_A+B|E_1,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,A:B,6CHX,1.4,xray,A,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_2,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,C:D,6CHX,1.4,xray,A,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_3,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,E:F,6CHX,1.4,xray,A,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_4,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,G:H,6CHX,1.4,xray,A,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_5,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,I:K,6CHX,1.4,xray,A,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_6,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,J:N,6CHX,1.4,xray,B,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_7,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,A:B,6CHX,1.4,xray,B,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_8,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,C:D,6CHX,1.4,xray,B,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_9,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,E:F,6CHX,1.4,xray,B,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_10,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,G:H,6CHX,1.4,xray,B,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4hkx_A+B|E_11,U:U,4HKX,2.5,xray,A:B,E,4HKB,3.6,xray,I:K,6CHX,1.4,xray,B,1,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
