candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
3jbq_h+l|B_7,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,P:M,3JWQ,2.87,xray,D,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_2,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,H:L,3JWQ,2.87,xray,B,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_6,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,H:L,3JWQ,2.87,xray,D,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_h+l|B_0,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,H:L,3JWQ,2.87,xray,A,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_h+l|B_2,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,H:L,3JWQ,2.87,xray,B,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_h+l|B_3,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,P:M,3JWQ,2.87,xray,B,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_h+l|B_4,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,H:L,3JWQ,2.87,xray,C,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_h+l|B_5,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,P:M,3JWQ,2.87,xray,C,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_h+l|B_6,U:U,3JBQ,11.0,electronMicroscopy,h:l,B,12E8,1.9,xray,H:L,3JWQ,2.87,xray,D,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_0,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,H:L,3JWQ,2.87,xray,A,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_1,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,P:M,3JWQ,2.87,xray,A,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_3,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,P:M,3JWQ,2.87,xray,B,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_4,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,H:L,3JWQ,2.87,xray,C,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_5,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,P:M,3JWQ,2.87,xray,C,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3jbq_H+L|F_7,U:U,3JBQ,11.0,electronMicroscopy,H:L,F,12E8,1.9,xray,P:M,3JWQ,2.87,xray,D,1,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
