comp_name,type,chain_ids,candidate_pdb_id,candidate_chain_ids,assembly_id,reason
5w08_K:L|C,AG,C,4WE8,A|A|A,1,potenial_homomer
5w08_K:L|C,AG,C,4WEA,A|A|A,1,potenial_homomer
5w08_K:L|C,AG,C,4WE9,A|A|A,1,potenial_homomer
4ffv_H:L|A,AG,A,2GBC,A|B,1,potenial_homomer
4ffv_H:L|A,AG,A,2GBC,A|B|A|B|A|B,2,potenial_homomer
4ffv_H:L|A,AG,A,2GBG,A|B,1,potenial_homomer
4ffv_H:L|A,AG,A,2GBG,A|B|A|B|A|B,2,potenial_homomer
4ffv_H:L|A,AG,A,2I3Z,A|B,1,potenial_homomer
4ffv_H:L|A,AG,A,2I3Z,A|B|A|B|A|B,2,potenial_homomer
1nca_H:L|N,AG,N,6D3B,A|A|A|A,1,potenial_homomer
1nca_H:L|N,AG,N,6HFC,A|A|A|A,1,potenial_homomer
1nca_H:L|N,AG,N,1F8E,A|A|A|A,1,potenial_homomer
1nca_H:L|N,AG,N,6HG0,A|A|A|A,1,potenial_homomer
1nca_H:L|N,AG,N,6HCX,A|A|A|A,1,potenial_homomer
2vxs_J:N|D,AG,D,4HR9,A|B,1,potenial_homomer
4fqr_a:b|A,AG,A,6BKQ,A|C|E,1,potenial_homomer
4fqr_a:b|A,AG,A,6BKQ,A|C|E,3,potential_complex_homomer
4fqr_a:b|A,AG,A,6BKM,A|C|E,1,potenial_homomer
4fqr_a:b|A,AG,A,6BKM,A|C|E,3,potential_complex_homomer
3w13_C:D|E,AG,E,2HR7,A|B,1,potenial_homomer
3w13_C:D|E,AG,E,4XST,E,1,additional_chains
3w13_C:D|E,AG,E,4XST,E|E|E|E|E|E,2,potential_complex_homomer
3w13_C:D|E,AG,E,6HN4,E|F,1,potenial_homomer
6bdz_H:L|A,AG,A,2AO7,A|A,2,potenial_homomer
5vta_I:G|B,AG,B,2GBC,A|B,1,potenial_homomer
5vta_I:G|B,AG,B,2GBC,A|B|A|B|A|B,2,potenial_homomer
5vta_I:G|B,AG,B,2GBG,A|B,1,potenial_homomer
5vta_I:G|B,AG,B,2GBG,A|B|A|B|A|B,2,potenial_homomer
