candidate_name,type,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
5hgg_T|A_5,U:U,5HGG,T,A,5HDO,B,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,2
5hgg_T|A_16,U:U,5HGG,T,A,5HDO,A,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,2
5hgg_T|A_17,U:U,5HGG,T,A,5HDO,B,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,2
5hgg_S|B_0,U:U,5HGG,S,B,5HDO,A,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_1,U:U,5HGG,S,B,5HDO,B,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_8,U:U,5HGG,S,B,5HDO,A,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_9,U:U,5HGG,S,B,5HDO,B,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_0,U:U,5HGG,T,A,5HDO,A,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_1,U:U,5HGG,T,A,5HDO,B,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_8,U:U,5HGG,T,A,5HDO,A,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_9,U:U,5HGG,T,A,5HDO,B,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_4,U:U,5HGG,S,B,5HDO,A,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,2
5hgg_S|B_5,U:U,5HGG,S,B,5HDO,B,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,2
5hgg_S|B_12,U:U,5HGG,S,B,5HDO,A,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_13,U:U,5HGG,S,B,5HDO,B,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_12,U:U,5HGG,T,A,5HDO,A,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_13,U:U,5HGG,T,A,5HDO,B,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_16,U:U,5HGG,S,B,5HDO,A,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_S|B_17,U:U,5HGG,S,B,5HDO,B,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,1
5hgg_T|A_6,U:U,5HGG,T,A,5HDO,C,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,2
5hgg_T|A_7,U:U,5HGG,T,A,5HDO,D,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,3
5hgg_T|A_18,U:U,5HGG,T,A,5HDO,C,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,2
5hgg_T|A_19,U:U,5HGG,T,A,5HDO,D,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,3
5hgg_S|B_2,U:U,5HGG,S,B,5HDO,C,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,1
5hgg_S|B_3,U:U,5HGG,S,B,5HDO,D,5Z1C,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,2
5hgg_S|B_10,U:U,5HGG,S,B,5HDO,C,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,1
5hgg_S|B_11,U:U,5HGG,S,B,5HDO,D,5YC6,U,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,2
5hgg_T|A_2,U:U,5HGG,T,A,5HDO,C,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,1
5hgg_T|A_3,U:U,5HGG,T,A,5HDO,D,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,2
5hgg_T|A_10,U:U,5HGG,T,A,5HDO,C,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,1
5hgg_T|A_11,U:U,5HGG,T,A,5HDO,D,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,2
5hgg_S|B_6,U:U,5HGG,S,B,5HDO,C,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,2
5hgg_S|B_7,U:U,5HGG,S,B,5HDO,D,4FU9,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,3
5hgg_S|B_14,U:U,5HGG,S,B,5HDO,C,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,1
5hgg_S|B_15,U:U,5HGG,S,B,5HDO,D,5ZA9,U,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,1,0,0,2
5hgg_T|A_14,U:U,5HGG,T,A,5HDO,C,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,1
5hgg_T|A_15,U:U,5HGG,T,A,5HDO,D,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,2
5hgg_S|B_18,U:U,5HGG,S,B,5HDO,C,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,1
5hgg_S|B_19,U:U,5HGG,S,B,5HDO,D,4XSK,U,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,1,0,0,2
