candidate_name,type,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6pxh_C+D|A_5,U:U,6PXH,C:D,A,6PXG,C:D,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,4
6pxh_C+D|A_6,U:U,6PXH,C:D,A,6PXG,E:F,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,5
6pxh_C+D|A_7,U:U,6PXH,C:D,A,6PXG,H:L,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,5
6pxh_H+L|B_4,U:U,6PXH,H:L,B,6PXG,A:B,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,5
6pxh_H+L|B_5,U:U,6PXH,H:L,B,6PXG,C:D,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,4
6pxh_H+L|B_6,U:U,6PXH,H:L,B,6PXG,E:F,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,5
6pxh_H+L|B_7,U:U,6PXH,H:L,B,6PXG,H:L,5X4R,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,2,0,0,0,5
6pxh_C+D|A_0,U:U,6PXH,C:D,A,6PXG,A:B,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,5
6pxh_C+D|A_1,U:U,6PXH,C:D,A,6PXG,C:D,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,4
6pxh_C+D|A_2,U:U,6PXH,C:D,A,6PXG,E:F,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,5
6pxh_C+D|A_3,U:U,6PXH,C:D,A,6PXG,H:L,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,5
6pxh_H+L|B_0,U:U,6PXH,H:L,B,6PXG,A:B,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,5
6pxh_H+L|B_1,U:U,6PXH,H:L,B,6PXG,C:D,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,4
6pxh_H+L|B_2,U:U,6PXH,H:L,B,6PXG,E:F,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,5
6pxh_H+L|B_3,U:U,6PXH,H:L,B,6PXG,H:L,5VYH,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,5
