pdb_id,comp_name,type,candidate,candidate_pdb_id,candidate_chain_names
4o51,4o51_B:A|N,AG,4o51_AG_u_0,6F2Z,A
4o51,4o51_B:A|N,AG,4o51_AG_u_1,6F2Z,B
5w08,5w08_K:L|C,AG,5w08_AG_u_0,4WE8,A
5w08,5w08_K:L|C,AG,5w08_AG_u_1,4WEA,A
5w08,5w08_K:L|C,AG,5w08_AG_u_2,4WE9,A
4ffv,4ffv_H:L|A,AG,4ffv_AG_u_0,2GBC,A
4ffv,4ffv_H:L|A,AG,4ffv_AG_u_1,2GBC,B
4ffv,4ffv_H:L|A,AG,4ffv_AG_u_2,2I3Z,A
4ffv,4ffv_H:L|A,AG,4ffv_AG_u_3,2I3Z,B
4ffv,4ffv_H:L|A,AG,4ffv_AG_u_4,2GBG,A
2ny3,2ny3_D:C|A,AB,2ny3_AB_u_0,1RZ8,B:A
2ny3,2ny3_D:C|A,AB,2ny3_AB_u_1,1RZ8,D:C
4yo0,4yo0_C:D|F,AG,4yo0_AG_u_0,6JJU,A
4yo0,4yo0_C:D|F,AG,4yo0_AG_u_1,5ZTF,A
4yo0,4yo0_C:D|F,AB,4yo0_AB_u_0,4YNY,A:B
4yo0,4yo0_C:D|F,AB,4yo0_AB_u_1,4YNY,C:D
3qa3,3qa3_B:A|E,AG,3qa3_AG_u_0,1MF7,A
3qa3,3qa3_B:A|E,AG,3qa3_AG_u_1,1NA5,A
3qa3,3qa3_B:A|E,AG,3qa3_AG_u_2,1IDO,A
3qa3,3qa3_B:A|E,AG,3qa3_AG_u_3,4XW2,A
3qa3,3qa3_B:A|E,AG,3qa3_AG_u_4,1JLM,A
1nca,1nca_H:L|N,AG,1nca_AG_u_0,6HFC,A
1nca,1nca_H:L|N,AG,1nca_AG_u_1,6HG0,A
1nca,1nca_H:L|N,AG,1nca_AG_u_2,6HCX,A
1nca,1nca_H:L|N,AG,1nca_AG_u_3,6D3B,A
1nca,1nca_H:L|N,AG,1nca_AG_u_4,1F8E,A
4ypg,4ypg_H:L|D,AG,4ypg_AG_u_0,1RH2,A
4ypg,4ypg_H:L|D,AG,4ypg_AG_u_1,1RH2,B
4ypg,4ypg_H:L|D,AG,4ypg_AG_u_2,1RH2,C
4ypg,4ypg_H:L|D,AG,4ypg_AG_u_3,1RH2,D
4ypg,4ypg_H:L|D,AG,4ypg_AG_u_4,1RH2,E
