candidate_name,type,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4m5z_H+L|A_0,U:U,4M5Z,H:L,A,4M5Y,H:L,3UYW,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,3
4m5z_H+L|A_2,U:U,4M5Z,H:L,A,4M5Y,H:L,3UYW,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,3
4m5z_H+L|A_3,U:U,4M5Z,H:L,A,4M5Y,I:M,3UYW,B,0,1,NA,0,0,0,3,0,0,0,2
4m5z_H+L|A_4,U:U,4M5Z,H:L,A,4M5Y,H:L,3UYW,C,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,3
4m5z_H+L|A_5,U:U,4M5Z,H:L,A,4M5Y,I:M,3UYW,C,0,1,NA,0,0,0,3,0,0,0,2
4m5z_H+L|A_6,U:U,4M5Z,H:L,A,4M5Y,H:L,3UYW,D,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,3
4m5z_H+L|A_7,U:U,4M5Z,H:L,A,4M5Y,I:M,3UYW,D,0,1,NA,0,0,0,3,0,0,0,2
4m5z_H+L|A_8,U:U,4M5Z,H:L,A,4M5Y,H:L,3UYX,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,4
4m5z_H+L|A_9,U:U,4M5Z,H:L,A,4M5Y,I:M,3UYX,A,0,2,NA,0,0,0,3,0,0,0,3
4m5z_H+L|A_10,U:U,4M5Z,H:L,A,4M5Y,H:L,3UYX,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,4
4m5z_H+L|A_11,U:U,4M5Z,H:L,A,4M5Y,I:M,3UYX,B,0,2,NA,0,0,0,3,0,0,0,3
4m5z_H+L|A_12,U:U,4M5Z,H:L,A,4M5Y,H:L,3MLH,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,5
4m5z_H+L|A_13,U:U,4M5Z,H:L,A,4M5Y,I:M,3MLH,A,0,1,NA,0,0,0,3,0,0,0,4
4m5z_H+L|A_14,U:U,4M5Z,H:L,A,4M5Y,H:L,3MLH,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,6
4m5z_H+L|A_15,U:U,4M5Z,H:L,A,4M5Y,I:M,3MLH,B,0,1,NA,0,0,0,3,0,0,0,5
