candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5jw3_H+L|B+A_10,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,H:L,4LN6,2.12,xray,L:K,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_0,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,H:L,4LN6,2.12,xray,B:A,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_1,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,A:B,4LN6,2.12,xray,B:A,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_2,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,H:L,4LN6,2.12,xray,D:C,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_3,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,A:B,4LN6,2.12,xray,D:C,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_4,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,H:L,4LN6,2.12,xray,F:E,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_5,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,A:B,4LN6,2.12,xray,F:E,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_7,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,A:B,4LN6,2.12,xray,H:G,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_8,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,H:L,4LN6,2.12,xray,J:I,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_9,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,A:B,4LN6,2.12,xray,J:I,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5jw3_H+L|B+A_11,U:U,5JW3,3.75,xray,H:L,B:A,5JW5,1.9,xray,A:B,4LN6,2.12,xray,L:K,2,16,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
