candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4weu_E|A_1,B:U,4WEU,2.61,xray,E,A,4weu,2.61,xray,E,3GGH,1.64,xray,B,0,4,NA,0,0,0,0,0,0,0,0
4weu_E|A_2,B:U,4WEU,2.61,xray,E,A,4weu,2.61,xray,E,3GEA,1.7,xray,A,0,4,NA,0,0,0,0,0,0,0,0
4weu_E|A_3,B:U,4WEU,2.61,xray,E,A,4weu,2.61,xray,E,3GEA,1.7,xray,B,0,4,NA,0,0,0,0,0,0,0,0
4weu_E|A_4,B:U,4WEU,2.61,xray,E,A,4weu,2.61,xray,E,3HLR,2.3,xray,A,0,7,NA,0,0,0,0,0,0,0,0
4weu_E|A_5,B:U,4WEU,2.61,xray,E,A,4weu,2.61,xray,E,4WEI,2.3,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4weu_D|B_0,B:U,4WEU,2.61,xray,D,B,4weu,2.61,xray,D,4WEI,2.3,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4weu_D|B_1,B:U,4WEU,2.61,xray,D,B,4weu,2.61,xray,D,3GEA,1.7,xray,A,0,4,NA,0,0,0,0,0,0,0,0
4weu_D|B_2,B:U,4WEU,2.61,xray,D,B,4weu,2.61,xray,D,3GEA,1.7,xray,B,0,4,NA,0,0,0,0,0,0,0,0
4weu_D|B_3,B:U,4WEU,2.61,xray,D,B,4weu,2.61,xray,D,3HLR,2.3,xray,A,0,7,NA,0,0,0,0,0,0,0,0
4weu_D|B_4,B:U,4WEU,2.61,xray,D,B,4weu,2.61,xray,D,3GGH,1.64,xray,A,0,4,NA,0,0,0,0,0,0,0,0
4weu_D|B_5,B:U,4WEU,2.61,xray,D,B,4weu,2.61,xray,D,3GGH,1.64,xray,B,0,4,NA,0,0,0,0,0,0,0,0
