candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4rrp_G+A|M_0,B:U,4RRP,2.79,xray,G:A,M,4rrp,2.79,xray,G:A,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_G+A|M_2,B:U,4RRP,2.79,xray,G:A,M,4rrp,2.79,xray,G:A,1ROC,1.5,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uea_H+L|D_0,B:U,5UEA,1.7,xray,H:L,D,5uea,1.7,xray,H:L,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uea_H+L|D_1,B:U,5UEA,1.7,xray,H:L,D,5uea,1.7,xray,H:L,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uea_H+L|D_2,B:U,5UEA,1.7,xray,H:L,D,5uea,1.7,xray,H:L,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6az2_C+E|D_0,B:U,6AZ2,2.48,xray,C:E,D,6az2,2.48,xray,C:E,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6az2_C+E|D_1,B:U,6AZ2,2.48,xray,C:E,D,6az2,2.48,xray,C:E,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6az2_C+E|D_2,B:U,6AZ2,2.48,xray,C:E,D,6az2,2.48,xray,C:E,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6az2_A+F|B_0,B:U,6AZ2,2.48,xray,A:F,B,6az2,2.48,xray,A:F,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6az2_A+F|B_1,B:U,6AZ2,2.48,xray,A:F,B,6az2,2.48,xray,A:F,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6az2_A+F|B_2,B:U,6AZ2,2.48,xray,A:F,B,6az2,2.48,xray,A:F,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uea_A+B|X_0,B:U,5UEA,1.7,xray,A:B,X,5uea,1.7,xray,A:B,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uea_A+B|X_1,B:U,5UEA,1.7,xray,A:B,X,5uea,1.7,xray,A:B,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uea_A+B|X_2,B:U,5UEA,1.7,xray,A:B,X,5uea,1.7,xray,A:B,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_I+C|O_0,B:U,4RRP,2.79,xray,I:C,O,4rrp,2.79,xray,I:C,1ROC,1.5,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_I+C|O_1,B:U,4RRP,2.79,xray,I:C,O,4rrp,2.79,xray,I:C,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_I+C|O_2,B:U,4RRP,2.79,xray,I:C,O,4rrp,2.79,xray,I:C,1WG3,3.0,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_J+D|P_0,B:U,4RRP,2.79,xray,J:D,P,4rrp,2.79,xray,J:D,1ROC,1.5,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_J+D|P_1,B:U,4RRP,2.79,xray,J:D,P,4rrp,2.79,xray,J:D,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_J+D|P_2,B:U,4RRP,2.79,xray,J:D,P,4rrp,2.79,xray,J:D,1WG3,3.0,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_L+F|R_0,B:U,4RRP,2.79,xray,L:F,R,4rrp,2.79,xray,L:F,1ROC,1.5,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_L+F|R_1,B:U,4RRP,2.79,xray,L:F,R,4rrp,2.79,xray,L:F,1WG3,3.0,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rrp_L+F|R_2,B:U,4RRP,2.79,xray,L:F,R,4rrp,2.79,xray,L:F,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
