comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
3l5w_B+A|J,U:U,1,3L5W,B:A,J,3L7E,B:A,1GA3,A,0,0,NA,0,0,0,3
3l5x_H+L|A,U:U,0,3L5X,H:L,A,3L7F,H:L,1GA3,A,0,0,NA,0,0,0,3
3l5x_H+L|A,U:U,1,3L5X,H:L,A,3L7F,B:A,1GA3,A,0,0,NA,0,0,0,3
3l5x_H+L|A,U:U,2,3L5X,H:L,A,3L7F,E:D,1GA3,A,0,0,NA,0,0,0,3
3l5w_H+L|I,U:U,0,3L5W,H:L,I,3L7E,H:L,1GA3,A,0,0,NA,0,0,0,3
3l5w_H+L|I,U:U,1,3L5W,H:L,I,3L7E,B:A,1GA3,A,0,0,NA,0,0,0,3
