candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5ggr_A+B|Y_0,U:U,5GGR,3.3,xray,A:B,Y,5GGQ,1.9,xray,H:L,2M2D,100.0,UNKNOWN,A,0,0,NA,0,2,0,5,0,1,1,3,0.001,0.001,0.001
5ggr_H+L|Z_3,U:U,5GGR,3.3,xray,H:L,Z,5GGQ,1.9,xray,H:L,6UMV,1.42,xray,A,0,2,NA,0,2,0,5,0,1,1,4,1.631,1.526,2.263
5ggr_A+B|Y_3,U:U,5GGR,3.3,xray,A:B,Y,5GGQ,1.9,xray,H:L,6UMV,1.42,xray,A,0,2,NA,0,2,0,5,0,1,1,4,1.602,1.499,2.231
5ggr_H+L|Z_2,U:U,5GGR,3.3,xray,H:L,Z,5GGQ,1.9,xray,H:L,6UMU,1.18,xray,A,0,3,NA,0,2,0,5,0,1,1,4,1.684,1.585,2.32
5ggr_A+B|Y_2,U:U,5GGR,3.3,xray,A:B,Y,5GGQ,1.9,xray,H:L,6UMU,1.18,xray,A,0,3,NA,0,2,0,5,0,1,1,4,1.676,1.581,2.298
5wt9_H+L|G_0,U:U,5WT9,2.4,xray,H:L,G,5GGQ,1.9,xray,H:L,2M2D,100.0,UNKNOWN,A,9,1,NA,0,1,2,4,0,1,1,3,0.001,0.001,0.001
5wt9_H+L|G_3,U:U,5WT9,2.4,xray,H:L,G,5GGQ,1.9,xray,H:L,6UMV,1.42,xray,A,9,7,NA,0,1,2,4,0,1,1,4,1.631,1.526,2.245
5wt9_H+L|G_2,U:U,5WT9,2.4,xray,H:L,G,5GGQ,1.9,xray,H:L,6UMU,1.18,xray,A,9,8,NA,0,1,2,4,0,1,1,4,1.684,1.585,2.32
5ggr_H+L|Z_1,U:U,5GGR,3.3,xray,H:L,Z,5GGQ,1.9,xray,H:L,3RRQ,2.1,xray,A,0,2,NA,0,2,0,5,0,2,1,5,1.709,1.555,2.681
5ggr_A+B|Y_1,U:U,5GGR,3.3,xray,A:B,Y,5GGQ,1.9,xray,H:L,3RRQ,2.1,xray,A,0,2,NA,0,2,0,5,0,2,1,5,1.666,1.525,2.54
5wt9_H+L|G_1,U:U,5WT9,2.4,xray,H:L,G,5GGQ,1.9,xray,H:L,3RRQ,2.1,xray,A,9,1,NA,0,1,2,4,0,2,1,5,1.694,1.55,2.594
