candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4jpv_H+L|G_13,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DVV,1.94,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_0,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,6ONF,1.84,xray,A,14,14,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_1,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,6ONF,1.84,xray,A,14,14,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_2,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,4DKP,1.8,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_3,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DKP,1.8,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_4,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,4DKP,1.8,xray,C,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_5,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DKP,1.8,xray,C,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_6,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,4DKQ,1.89,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_7,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DKQ,1.89,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_9,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DKR,1.8,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_10,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,4DKR,1.8,xray,C,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_11,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DKR,1.8,xray,C,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_12,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,4DVV,1.94,xray,A,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_14,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,H:L,4DVV,1.94,xray,B,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4jpv_H+L|G_15,U:U,4JPV,2.83,xray,H:L,G,3RPI,2.65,xray,A:B,4DVV,1.94,xray,B,14,8,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
