candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6hf1_F+E|D_0,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,5D8I,2.05,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_1,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,5D8I,2.05,xray,B,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_2,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T59,2.8,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_3,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T59,2.8,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_4,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T59,2.8,xray,C,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_5,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T59,2.8,xray,D,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_6,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T58,2.4,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_7,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T58,2.4,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_8,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T58,2.4,xray,C,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_F+E|D_9,B:U,6HF1,1.94,xray,F:E,D,6hf1,1.94,xray,F:E,3T58,2.4,xray,D,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_0,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T59,2.8,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_1,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T59,2.8,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_2,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T59,2.8,xray,C,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_3,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T59,2.8,xray,D,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_4,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T58,2.4,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_5,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T58,2.4,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_6,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T58,2.4,xray,C,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_7,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,3T58,2.4,xray,D,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_8,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,5D8I,2.05,xray,A,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6hf1_C+B|A_9,B:U,6HF1,1.94,xray,C:B,A,6hf1,1.94,xray,C:B,5D8I,2.05,xray,B,0,2,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_0,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T59,2.8,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_1,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T59,2.8,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_2,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T59,2.8,xray,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_3,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T59,2.8,xray,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_4,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T58,2.4,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_5,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T58,2.4,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_6,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T58,2.4,xray,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_7,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,3T58,2.4,xray,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_C+B|A_9,B:U,5D93,2.2,xray,C:B,A,5d93,2.2,xray,C:B,5D8I,2.05,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_0,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T59,2.8,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_1,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T59,2.8,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_2,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T59,2.8,xray,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_3,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T59,2.8,xray,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_4,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T58,2.4,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_5,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T58,2.4,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_6,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T58,2.4,xray,C,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_7,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,3T58,2.4,xray,D,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_8,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,5D8I,2.05,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5d93_F+E|D_9,B:U,5D93,2.2,xray,F:E,D,5d93,2.2,xray,F:E,5D8I,2.05,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
