comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
5sv3_C|D,U:U,1,5SV3,C,D,5SV4,B,3MK9,A,0,2,NA,0,0,0,4
5sv3_C|D,U:U,2,5SV3,C,D,5SV4,A,4IMV,A,0,3,NA,0,0,0,4
5sv3_C|D,U:U,3,5SV3,C,D,5SV4,B,4IMV,A,0,3,NA,0,0,0,4
5sv3_C|D,U:U,4,5SV3,C,D,5SV4,A,3LC9,A,0,2,NA,0,0,0,5
5sv3_C|D,U:U,5,5SV3,C,D,5SV4,B,3LC9,A,0,2,NA,0,0,0,5
5sv3_A|B,U:U,0,5SV3,A,B,5SV4,A,3MK9,A,0,2,NA,0,0,0,4
5sv3_A|B,U:U,1,5SV3,A,B,5SV4,B,3MK9,A,0,2,NA,0,0,0,4
5sv3_A|B,U:U,2,5SV3,A,B,5SV4,A,4IMV,A,0,3,NA,0,0,0,4
5sv3_A|B,U:U,3,5SV3,A,B,5SV4,B,4IMV,A,0,3,NA,0,0,0,4
5sv3_A|B,U:U,4,5SV3,A,B,5SV4,A,3LC9,A,0,2,NA,0,0,0,5
5sv3_A|B,U:U,5,5SV3,A,B,5SV4,B,3LC9,A,0,2,NA,0,0,0,5
