candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
1mlc_B+A|E_1,U:U,1MLC,2.50,xray,B:A,E,1MLB,2.10,xray,B:A,6RT3,1.05,xray,A,0,0,NA,0,0,0,0,0,0,0,0
1mlc_B+A|E_2,U:U,1MLC,2.50,xray,B:A,E,1MLB,2.10,xray,B:A,6RO3,1.03,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1mlc_B+A|E_3,U:U,1MLC,2.50,xray,B:A,E,1MLB,2.10,xray,B:A,6F9Y,1.20,xray,A,0,0,NA,0,0,0,0,0,0,0,0
1mlc_B+A|E_4,U:U,1MLC,2.50,xray,B:A,E,1MLB,2.10,xray,B:A,6ABN,1.17,xray,A,0,0,NA,0,0,0,0,0,0,0,0
1mlc_D+C|F_0,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6FSJ,1.20,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1mlc_D+C|F_1,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6F9Z,1.20,xray,A,0,0,NA,0,0,0,0,0,0,0,0
1mlc_D+C|F_2,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6RT3,1.05,xray,A,0,0,NA,0,0,0,0,0,0,0,0
1mlc_D+C|F_3,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6RO3,1.03,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1mlc_D+C|F_4,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6F9Y,1.20,xray,A,0,0,NA,0,0,0,0,0,0,0,0
1mlc_D+C|F_5,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6GNL,1.23,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
1mlc_D+C|F_6,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6G8A,1.14,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1mlc_D+C|F_7,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6ADF,1.08,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
1mlc_D+C|F_8,U:U,1MLC,2.50,xray,D:C,F,1MLB,2.10,xray,B:A,6ABN,1.17,xray,A,0,0,NA,0,0,0,0,0,0,0,0
