candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
5ovw_G|C_7,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,1N4A,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_3,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,1N4A,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_8,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,1N2Z,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_4,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,1N4A,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_L|F_3,B:U,5OVW,2.65,xray,L,F,5ovw,2.65,xray,L,1N2Z,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_4,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,5M3B,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_4,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,5M34,1.6,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_6,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,5M3B,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_8,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,5M34,1.6,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_1,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,5M34,1.6,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_L|F_8,B:U,5OVW,2.65,xray,L,F,5ovw,2.65,xray,L,5M34,1.6,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_6,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,1N2Z,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_7,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,1N2Z,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_9,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,1N4A,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_2,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,1N2Z,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_3,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,1N2Z,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_6,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,1N4A,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_0,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,1N2Z,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_1,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,1N2Z,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_4,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,1N4A,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_5,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,1N4A,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_2,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,1N4A,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_9,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,1N2Z,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_2,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,1N2Z,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_3,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,1N2Z,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_5,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,1N4A,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_L|F_2,B:U,5OVW,2.65,xray,L,F,5ovw,2.65,xray,L,1N2Z,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_L|F_4,B:U,5OVW,2.65,xray,L,F,5ovw,2.65,xray,L,1N4A,2.0,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_L|F_5,B:U,5OVW,2.65,xray,L,F,5ovw,2.65,xray,L,1N4A,2.0,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_0,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,5M34,1.6,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_1,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,5M34,1.6,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_2,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,5M2Q,1.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_3,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,5M2Q,1.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_I|B_5,B:U,5OVW,2.65,xray,I,B,5ovw,2.65,xray,I,5M3B,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_0,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,5M3B,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_1,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,5M3B,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_5,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,5M34,1.6,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_8,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,5M2Q,1.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_G|C_9,B:U,5OVW,2.65,xray,G,C,5ovw,2.65,xray,G,5M2Q,1.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_2,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,5M2Q,1.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_3,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,5M2Q,1.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_7,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,5M3B,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_K|E_9,B:U,5OVW,2.65,xray,K,E,5ovw,2.65,xray,K,5M34,1.6,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_0,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,5M2Q,1.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_1,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,5M2Q,1.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_4,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,5M3B,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_5,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,5M3B,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_6,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,5M34,1.6,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_J|D_7,B:U,5OVW,2.65,xray,J,D,5ovw,2.65,xray,J,5M34,1.6,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_0,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,5M34,1.6,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_6,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,5M3B,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_7,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,5M3B,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_8,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,5M2Q,1.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_H|A_9,B:U,5OVW,2.65,xray,H,A,5ovw,2.65,xray,H,5M2Q,1.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
5ovw_L|F_0,B:U,5OVW,2.65,xray,L,F,5ovw,2.65,xray,L,5M3B,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
