comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
6dbf_B|A,U:U,1,6DBF,B,A,6DBA,B,1H6T,A,0,5,NA,0,0,2,3
6dbf_B|A,U:U,2,6DBF,B,A,6DBA,A,1OTN,A,0,3,NA,0,0,1,2
6dbf_B|A,U:U,3,6DBF,B,A,6DBA,B,1OTN,A,0,3,NA,0,0,1,2
6dbf_B|A,U:U,4,6DBF,B,A,6DBA,A,1OTO,A,0,3,NA,0,0,2,3
6dbf_B|A,U:U,5,6DBF,B,A,6DBA,B,1OTO,A,0,3,NA,0,0,2,3
6dbf_B|A,U:U,6,6DBF,B,A,6DBA,A,1D0B,A,0,2,NA,0,0,1,1
6dbf_B|A,U:U,7,6DBF,B,A,6DBA,B,1D0B,A,0,2,NA,0,0,1,1
6dbf_B|A,U:U,8,6DBF,B,A,6DBA,A,1OTM,A,0,4,NA,0,0,2,3
6dbf_B|A,U:U,9,6DBF,B,A,6DBA,B,1OTM,A,0,4,NA,0,0,2,3
6dbg_C|B,U:U,0,6DBG,C,B,6DBA,A,1H6T,A,0,0,NA,0,0,2,3
6dbg_C|B,U:U,1,6DBG,C,B,6DBA,B,1H6T,A,0,0,NA,0,0,2,3
6dbg_C|B,U:U,2,6DBG,C,B,6DBA,A,2WQX,A,0,5,NA,0,0,1,2
6dbg_C|B,U:U,3,6DBG,C,B,6DBA,B,2WQX,A,0,5,NA,0,0,1,2
6dbg_C|B,U:U,4,6DBG,C,B,6DBA,A,2WQX,B,0,5,NA,0,0,2,3
6dbg_C|B,U:U,5,6DBG,C,B,6DBA,B,2WQX,B,0,5,NA,0,0,2,3
6dbg_C|B,U:U,6,6DBG,C,B,6DBA,A,1M9S,A,0,4,NA,0,0,1,1
6dbg_C|B,U:U,7,6DBG,C,B,6DBA,B,1M9S,A,0,4,NA,0,0,1,1
6dbg_C|B,U:U,8,6DBG,C,B,6DBA,A,2WQU,A,0,0,NA,0,0,2,3
6dbg_C|B,U:U,9,6DBG,C,B,6DBA,B,2WQU,A,0,0,NA,0,0,2,3
6dbg_C|B,U:U,10,6DBG,C,B,6DBA,A,2WQU,B,0,0,NA,0,0,1,4
6dbg_C|B,U:U,11,6DBG,C,B,6DBA,B,2WQU,B,0,0,NA,0,0,1,4
6dbg_C|B,U:U,12,6DBG,C,B,6DBA,A,2WQU,C,0,0,NA,0,0,1,5
6dbg_C|B,U:U,13,6DBG,C,B,6DBA,B,2WQU,C,0,0,NA,0,0,1,5
6dbg_C|B,U:U,14,6DBG,C,B,6DBA,A,2WQU,D,0,0,NA,0,0,1,2
6dbg_C|B,U:U,15,6DBG,C,B,6DBA,B,2WQU,D,0,0,NA,0,0,1,2
6dbg_C|B,U:U,16,6DBG,C,B,6DBA,A,2WQU,E,0,0,NA,0,0,1,3
6dbg_C|B,U:U,17,6DBG,C,B,6DBA,B,2WQU,E,0,0,NA,0,0,1,3
6dbg_C|B,U:U,18,6DBG,C,B,6DBA,A,2WQU,F,0,0,NA,0,0,1,3
6dbg_C|B,U:U,19,6DBG,C,B,6DBA,B,2WQU,F,0,0,NA,0,0,1,3
