candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5hvh_B|A_2,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D66,3.1,xray,B,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_5,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D67,3.4,xray,B,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_6,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D66,3.1,xray,C,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_7,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D68,2.8,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_8,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D68,2.8,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_9,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D68,2.8,xray,C,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_1,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D68,2.8,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_3,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D68,2.8,xray,C,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_0,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,4P10,2.0,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_0,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,4P10,2.0,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_1,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D66,3.1,xray,A,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_3,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D66,3.1,xray,C,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_4,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D67,3.4,xray,A,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvh_B|A_6,B:U,5HVH,3.0,xray,B,A,5hvh,3.0,xray,B,3D67,3.4,xray,C,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_5,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D66,3.1,xray,B,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_7,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D67,3.4,xray,A,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_8,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D67,3.4,xray,B,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5hvg_B|A_9,B:U,5HVG,3.05,xray,B,A,5hvg,3.05,xray,B,3D67,3.4,xray,C,0,6,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
