candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5x0t_A+B|E_0,U:U,5X0T,2.5,xray,A:B,E,5X4G,1.45,xray,A:B,3B5H,2.8,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_A+B|E_1,U:U,5X0T,2.5,xray,A:B,E,5X4G,1.45,xray,A:B,3B5H,2.8,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_A+B|E_3,U:U,5X0T,2.5,xray,A:B,E,5X4G,1.45,xray,A:B,3B5H,2.8,xray,D,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_A+B|E_5,U:U,5X0T,2.5,xray,A:B,E,5X4G,1.45,xray,A:B,3I85,2.5,xray,B,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_C+D|F_0,U:U,5X0T,2.5,xray,C:D,F,5X4G,1.45,xray,A:B,3I85,2.5,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_C+D|F_1,U:U,5X0T,2.5,xray,C:D,F,5X4G,1.45,xray,A:B,3I85,2.5,xray,B,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_C+D|F_2,U:U,5X0T,2.5,xray,C:D,F,5X4G,1.45,xray,A:B,3B5H,2.8,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_C+D|F_3,U:U,5X0T,2.5,xray,C:D,F,5X4G,1.45,xray,A:B,3B5H,2.8,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_C+D|F_4,U:U,5X0T,2.5,xray,C:D,F,5X4G,1.45,xray,A:B,3B5H,2.8,xray,C,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5x0t_C+D|F_5,U:U,5X0T,2.5,xray,C:D,F,5X4G,1.45,xray,A:B,3B5H,2.8,xray,D,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
