candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6dbg_C|B_0,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,1M9S,2.65,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6dbg_C|B_1,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,1M9S,2.65,xray,A,0,4,NA,0,0,0,0,0,0,0,0
6dbg_C|B_2,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQU,2.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_3,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQU,2.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_4,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQU,2.6,xray,B,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_5,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQU,2.6,xray,B,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_6,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQU,2.6,xray,C,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_7,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQU,2.6,xray,C,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_8,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQU,2.6,xray,D,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_9,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQU,2.6,xray,D,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_10,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQU,2.6,xray,E,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_12,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQU,2.6,xray,F,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_13,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQU,2.6,xray,F,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_14,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQX,2.03,xray,A,0,5,NA,0,0,0,0,0,0,0,0
6dbg_C|B_15,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQX,2.03,xray,A,0,5,NA,0,0,0,0,0,0,0,0
6dbg_C|B_16,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,2WQX,2.03,xray,B,0,5,NA,0,0,0,0,0,0,0,0
6dbg_C|B_17,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,2WQX,2.03,xray,B,0,5,NA,0,0,0,0,0,0,0,0
6dbg_C|B_18,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,A,1H6T,1.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6dbg_C|B_19,U:U,6DBG,1.51,xray,C,B,6DBA,1.3,xray,B,1H6T,1.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0
6u12_B|A_0,U:U,6U12,1.56,xray,B,A,6DBA,1.3,xray,A,1H6T,1.6,xray,A,2,5,NA,0,0,0,0,0,0,0,0
6u12_B|A_1,U:U,6U12,1.56,xray,B,A,6DBA,1.3,xray,B,1H6T,1.6,xray,A,2,5,NA,0,0,0,0,0,0,0,0
6u12_B|A_2,U:U,6U12,1.56,xray,B,A,6DBA,1.3,xray,A,1D0B,1.86,xray,A,2,2,NA,0,0,0,0,0,0,0,0
