candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4m3k_B|A_0,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_1,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_4,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_5,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_6,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_7,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_8,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_9,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_10,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_11,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_12,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_13,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_14,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_15,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_16,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_17,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_18,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_19,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_20,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_22,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_23,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4m3k_B|A_24,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5ZFL,1.5,xray,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_25,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5ZFL,1.5,xray,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_26,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5ZFL,1.5,xray,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_27,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5ZFL,1.5,xray,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_28,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5ZFL,1.5,xray,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_29,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5ZFL,1.5,xray,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_30,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,A,5ZFL,1.5,xray,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4m3k_B|A_31,U:U,4M3K,1.48,xray,B,A,4M3J,1.95,xray,B,5ZFL,1.5,xray,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
