candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
3kj4_H+L|A_8,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0P,2.0,xray,A,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_C+B|D_3,B:U,3KJ4,3.1,xray,C:B,D,3kj4,3.1,xray,C:B,5O0K,2.3,xray,B,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_C+B|D_4,B:U,3KJ4,3.1,xray,C:B,D,3kj4,3.1,xray,C:B,5O0P,2.0,xray,A,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_0,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0K,2.3,xray,A,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_1,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0K,2.3,xray,B,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_2,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0Q,2.5,xray,A,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_4,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0Q,2.5,xray,C,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_5,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0Q,2.5,xray,D,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_9,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0P,2.0,xray,B,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_C+B|D_2,B:U,3KJ4,3.1,xray,C:B,D,3kj4,3.1,xray,C:B,5O0K,2.3,xray,A,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_C+B|D_5,B:U,3KJ4,3.1,xray,C:B,D,3kj4,3.1,xray,C:B,5O0P,2.0,xray,B,0,7,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_6,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0M,1.9,xray,A,0,7,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_H+L|A_7,B:U,3KJ4,3.1,xray,H:L,A,3kj4,3.1,xray,H:L,5O0M,1.9,xray,B,0,7,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_C+B|D_0,B:U,3KJ4,3.1,xray,C:B,D,3kj4,3.1,xray,C:B,5O0M,1.9,xray,A,0,7,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
3kj4_C+B|D_1,B:U,3KJ4,3.1,xray,C:B,D,3kj4,3.1,xray,C:B,5O0M,1.9,xray,B,0,7,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
