candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
3rjq_B|A_11,U:U,3RJQ,2.6,xray,B,A,2XA3,1.5,xray,A,4I53,2.5,xray,B,10,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_0,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,A,3TGR,2.8,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_1,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,B,3TGR,2.8,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_3,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,A,3TGR,2.8,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_4,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,B,3TGR,2.8,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_7,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,B,4I53,2.5,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_9,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,A,4I53,2.5,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_10,U:U,3RJQ,2.6,xray,B,A,3R0M,1.5,xray,B,4I53,2.5,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_2,U:U,3RJQ,2.6,xray,B,A,2XA3,1.5,xray,A,3TGR,2.8,xray,A,10,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_5,U:U,3RJQ,2.6,xray,B,A,2XA3,1.5,xray,A,3TGR,2.8,xray,B,10,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3rjq_B|A_8,U:U,3RJQ,2.6,xray,B,A,2XA3,1.5,xray,A,4I53,2.5,xray,A,10,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
