candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
1mhp_X+Y|B_0,B:U,1MHP,2.8,xray,X:Y,B,1mhp,2.8,xray,X:Y,5HGJ,1.4,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_X+Y|B_2,B:U,1MHP,2.8,xray,X:Y,B,1mhp,2.8,xray,X:Y,1PT6,1.87,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_X+Y|B_3,B:U,1MHP,2.8,xray,X:Y,B,1mhp,2.8,xray,X:Y,1PT6,1.87,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_X+Y|B_4,B:U,1MHP,2.8,xray,X:Y,B,1mhp,2.8,xray,X:Y,1CK4,2.2,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_X+Y|B_5,B:U,1MHP,2.8,xray,X:Y,B,1mhp,2.8,xray,X:Y,1CK4,2.2,xray,B,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_X+Y|B_6,B:U,1MHP,2.8,xray,X:Y,B,1mhp,2.8,xray,X:Y,1QCY,2.3,xray,A,0,9,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_0,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,5HGJ,1.4,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_1,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,5HGJ,1.4,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_2,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,1QCY,2.3,xray,A,0,9,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_3,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,1PT6,1.87,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_4,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,1PT6,1.87,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_5,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,1CK4,2.2,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
2b2x_I+M|B_6,B:U,2B2X,2.2,xray,I:M,B,2b2x,2.2,xray,I:M,1CK4,2.2,xray,B,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_0,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,1PT6,1.87,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_1,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,1PT6,1.87,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_2,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,5HGJ,1.4,xray,A,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_3,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,5HGJ,1.4,xray,B,0,8,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_4,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,1CK4,2.2,xray,A,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_5,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,1CK4,2.2,xray,B,0,4,NA,0,0,0,0,0,0,0,0,NA,NA,NA
1mhp_H+L|A_6,B:U,1MHP,2.8,xray,H:L,A,1mhp,2.8,xray,H:L,1QCY,2.3,xray,A,0,9,NA,0,0,0,0,0,0,0,0,NA,NA,NA
