candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4tsc_H+L|A_1,B:U,4TSC,1.92,xray,H:L,A,4tsc,1.92,xray,H:L,6P4D,1.05,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsc_H+L|A_2,B:U,4TSC,1.92,xray,H:L,A,4tsc,1.92,xray,H:L,6A10,1.13,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsc_H+L|A_3,B:U,4TSC,1.92,xray,H:L,A,4tsc,1.92,xray,H:L,6A10,1.13,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsc_H+L|A_4,B:U,4TSC,1.92,xray,H:L,A,4tsc,1.92,xray,H:L,6A10,1.13,xray,C,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsc_H+L|A_5,B:U,4TSC,1.92,xray,H:L,A,4tsc,1.92,xray,H:L,6AGN,1.08,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4tsc_H+L|A_6,B:U,4TSC,1.92,xray,H:L,A,4tsc,1.92,xray,H:L,6ABN,1.17,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsa_H+L|A_0,B:U,4TSA,2.27,xray,H:L,A,4tsa,2.27,xray,H:L,6F1P,1.12,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsa_H+L|A_1,B:U,4TSA,2.27,xray,H:L,A,4tsa,2.27,xray,H:L,6P4D,1.05,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4tsa_H+L|A_2,B:U,4TSA,2.27,xray,H:L,A,4tsa,2.27,xray,H:L,6K5Q,1.18,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4tsa_H+L|A_3,B:U,4TSA,2.27,xray,H:L,A,4tsa,2.27,xray,H:L,6RO3,1.03,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4tsa_H+L|A_4,B:U,4TSA,2.27,xray,H:L,A,4tsa,2.27,xray,H:L,6RT3,1.05,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
