candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5f1k_D|B_0,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,2O3S,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_1,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,2O3S,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_2,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,6VUA,1.5,xray,A,0,2,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_3,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,6VUA,1.5,xray,B,0,2,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_4,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,3DZH,1.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_6,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,3ROK,1.65,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_7,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,3ROK,1.65,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_D|B_8,B:U,5F1K,2.3,xray,D,B,5f1k,2.3,xray,D,3F6Y,1.45,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_0,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,3DZH,1.6,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_1,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,3DZH,1.6,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_2,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,3ROK,1.65,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_3,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,3ROK,1.65,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_4,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,2O3S,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_5,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,2O3S,1.5,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_6,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,6VUA,1.5,xray,A,0,2,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5f1k_C|A_7,B:U,5F1K,2.3,xray,C,A,5f1k,2.3,xray,C,6VUA,1.5,xray,B,0,2,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
