candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4m5z_H+L|A_0,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3UYW,1.9,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,2,0.038,0.038,0.195
4m5z_H+L|A_2,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3UYW,1.9,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,2,0.123,0.11,0.388
4m5z_H+L|A_3,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3UYW,1.9,xray,B,0,1,NA,0,0,0,3,0,0,0,2,0.117,0.103,0.335
4m5z_H+L|A_4,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3UYW,1.9,xray,C,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,2,0.136,0.131,0.265
4m5z_H+L|A_5,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3UYW,1.9,xray,C,0,1,NA,0,0,0,3,0,0,0,2,0.131,0.126,0.18
4m5z_H+L|A_6,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3UYW,1.9,xray,D,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,2,0.124,0.111,0.418
4m5z_H+L|A_7,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3UYW,1.9,xray,D,0,1,NA,0,0,0,3,0,0,0,2,0.118,0.104,0.369
4m5z_H+L|A_8,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3UYX,1.8,xray,A,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,3,0.358,0.334,0.658
4m5z_H+L|A_9,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3UYX,1.8,xray,A,0,2,NA,0,0,0,3,0,0,0,3,0.359,0.334,0.632
4m5z_H+L|A_10,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3UYX,1.8,xray,B,0,2,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,3,0.244,0.235,0.677
4m5z_H+L|A_11,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3UYX,1.8,xray,B,0,2,NA,0,0,0,3,0,0,0,3,0.241,0.232,0.648
4m5z_H+L|A_12,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3MLH,2.09,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,4,0.245,0.226,0.833
4m5z_H+L|A_13,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3MLH,2.09,xray,A,0,1,NA,0,0,0,3,0,0,0,4,0.242,0.223,0.81
4m5z_H+L|A_14,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,H:L,3MLH,2.09,xray,B,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,3,0,0,0,4,0.306,0.299,0.825
4m5z_H+L|A_15,U:U,4M5Z,2.25,xray,H:L,A,4M5Y,1.55,xray,I:M,3MLH,2.09,xray,B,0,1,NA,0,0,0,3,0,0,0,4,0.304,0.297,0.801
