comp_name,type,chain_ids,candidate_pdb_id,candidate_chain_ids,assembly_id
4o51_B:A|N,AG,N,6F2Z,B,1
4o51_B:A|N,AG,N,6F2Z,A,2
2ny3_D:C|A,AB,D:C,1RZ8,B:A,1
2ny3_D:C|A,AB,D:C,1RZ8,D:C,2
4yo0_C:D|F,AB,C:D,4YNY,A:B,1
4yo0_C:D|F,AB,C:D,4YNY,C:D,2
4yo0_C:D|F,AG,F,6JJU,A,1
4yo0_C:D|F,AG,F,5ZTF,A,1
3qa3_B:A|E,AG,E,4XW2,A,1
3qa3_B:A|E,AG,E,1NA5,A,1
3qa3_B:A|E,AG,E,1IDO,A,1
3qa3_B:A|E,AG,E,1JLM,A,1
3qa3_B:A|E,AG,E,1MF7,A,1
4ypg_H:L|D,AG,D,1RH2,A,1
4ypg_H:L|D,AG,D,1RH2,B,2
4ypg_H:L|D,AG,D,1RH2,C,3
4ypg_H:L|D,AG,D,1RH2,D,4
4ypg_H:L|D,AG,D,1RH2,E,5
4ypg_H:L|D,AG,D,1RH2,F,6
4fqr_a:b|A,AB,a:b,4FNL,H:L,1
4fqr_a:b|A,AB,a:b,4FNL,I:M,2
6bdz_H:L|A,AG,A,6BE6,A,1
6bdz_H:L|A,AG,A,6BE6,B,2
6bdz_H:L|A,AG,A,6BE6,C,3
6bdz_H:L|A,AG,A,6BE6,D,4
6bdz_H:L|A,AG,A,2AO7,A,1
6r2s_B:A|C,AG,C,4YFS,A,1
3x3f_H:L|A,AB,H:L,3X3G,H:L,1
2r56_I:M|B,AG,B,4CK4,A,1
2r56_I:M|B,AG,B,4CK4,B,2
5dup_H:L|A,AG,A,5DUT,A,1
5fhc_A:B|J,AB,A:B,5FHB,H:L,1
4hc1_M:N|B,AG,B,4HBQ,A,1
4hc1_M:N|B,AG,B,4HBQ,B,2
6nip_H:L|Z,AB,H:L,6NIS,H:L,1
6nip_H:L|Z,AB,H:L,6MTX,H:L,1
6nip_H:L|Z,AG,Z,5OMZ,A,1
3ulu_D:C|A,AB,D:C,3ULS,H:L,1
3ulu_D:C|A,AB,D:C,3ULS,B:A,2
3ulu_D:C|A,AG,A,2A0Z,A,1
3ulu_D:C|A,AG,A,1ZIW,A,1
1vfb_B:A|C,AB,B:A,1VFA,B:A,1
1vfb_B:A|C,AB,B:A,1A7R,H:L,1
1vfb_B:A|C,AB,B:A,1A7P,H:L,1
1vfb_B:A|C,AB,B:A,1A7N,H:L,1
1vfb_B:A|C,AG,C,6F9Z,A,1
1vfb_B:A|C,AG,C,6RT3,A,1
1vfb_B:A|C,AG,C,6ABN,A,1
1vfb_B:A|C,AG,C,6ADF,A,1
1vfb_B:A|C,AG,C,6FSJ,A,1
6pzw_F:E|C,AB,F:E,6PZH,H:L,1
6pzw_F:E|C,AB,F:E,6PZH,B:A,2
1ggi_H:L|P,AB,H:L,1GGB,H:L,1
1ggi_H:L|P,AB,H:L,1GGC,H:L,1
4ypg_B:A|C,AG,C,1RH2,A,1
4ypg_B:A|C,AG,C,1RH2,B,2
