candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6pxh_H+L|B_11,U:U,6PXH,2.3,xray,H:L,B,6PXG,2.1,xray,H:L,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_H+L|B_12,U:U,6PXH,2.3,xray,H:L,B,6PXG,2.1,xray,A:B,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_C+D|A_4,U:U,6PXH,2.3,xray,C:D,A,6PXG,2.1,xray,A:B,5VYH,2.0,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_C+D|A_1,U:U,6PXH,2.3,xray,C:D,A,6PXG,2.1,xray,C:D,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_C+D|A_2,U:U,6PXH,2.3,xray,C:D,A,6PXG,2.1,xray,E:F,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_C+D|A_3,U:U,6PXH,2.3,xray,C:D,A,6PXG,2.1,xray,H:L,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_H+L|B_0,U:U,6PXH,2.3,xray,H:L,B,6PXG,2.1,xray,A:B,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_H+L|B_1,U:U,6PXH,2.3,xray,H:L,B,6PXG,2.1,xray,C:D,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_H+L|B_2,U:U,6PXH,2.3,xray,H:L,B,6PXG,2.1,xray,E:F,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6pxh_H+L|B_3,U:U,6PXH,2.3,xray,H:L,B,6PXG,2.1,xray,H:L,5X4R,1.5,xray,A,0,1,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
