comp_name,type,chain_ids,candidate_pdb_id,candidate_chain_ids,assembly_id
6kyz_B+C-A,AG,A,2IN2,A,1
6kyz_E+F-D,AG,D,2IN2,A,1
6p4b_H+L-C,AB,H+L,6P4C,H+L,1
6p4b_B+A-D,AB,B+A,6P4C,H+L,1
6wps_H+L-A,AB,H+L,6WS6,A+B,1
6wps_H+L-A,AB,H+L,6WS6,C+D,2
6wps_H+L-A,AB,H+L,6WS6,E+F,3
6wps_C+D-B,AB,C+D,6WS6,B+B,1
6wps_C+D-B,AB,C+D,6WS6,D+D,2
6wps_C+D-B,AB,C+D,6WS6,F+F,3
6wps_F+G-E,AB,F+G,6WS6,B+B,1
6wps_F+G-E,AB,F+G,6WS6,D+D,2
6wps_F+G-E,AB,F+G,6WS6,F+F,3
6wpt_H+L-C,AB,H+L,6WS6,A+B,1
6wpt_H+L-C,AB,H+L,6WS6,C+D,2
6wpt_H+L-C,AB,H+L,6WS6,E+F,3
6wpt_D+E-A,AB,D+E,6WS6,A+B,1
6wpt_D+E-A,AB,D+E,6WS6,C+D,2
6wpt_D+E-A,AB,D+E,6WS6,E+F,3
2ny3_D+C-A,AB,D+C,1RZ8,B+A,1
2ny3_D+C-A,AB,D+C,1RZ8,D+C,2
3qa3_B+A-E,AG,E,4XW2,A,1
5toj_E-B,AB,E,5TP3,A,1
5toj_E-B,AB,E,5TP3,B,2
4u3x_A-B,AG,B,7CDO,A,1
4u3x_A-B,AG,B,7NKF,A,1
4u3x_A-B,AG,B,7AC2,A,1
6hga_H+L-B,AB,H+L,6HGU,A+B,1
6hga_H+L-B,AB,H+L,6HGU,H+L,2
5bk2_C+D-B,AG,B,5ZCA,A,1
5bk2_C+D-B,AG,B,6ZIS,A,1
5bk2_C+D-B,AG,B,4PE2,A,1
5bk2_C+D-B,AG,B,5B3Y,A,1
5bk2_C+D-B,AG,B,6ZHO,A,1
6bdz_H+L-A,AG,A,6BE6,A,1
6bdz_H+L-A,AG,A,6BE6,B,2
6bdz_H+L-A,AG,A,6BE6,C,3
6bdz_H+L-A,AG,A,6BE6,D,4
5wdu_U+V-R,AB,U+V,4TOY,L+L,1
3x3f_H+L-A,AB,H+L,3X3G,H+L,1
4w2o_A-B,AB,A,6APQ,A,1
3pnw_W+V-X,AG,X,5YJ8,A,1
3pnw_W+V-X,AG,X,3S6W,A,1
3pnw_W+V-X,AG,X,3PMT,A,1
7lq7_T+U-B,AB,T+U,7JMX,H+L,1
7lq7_P+Q-A,AB,P+Q,7JMX,H+L,1
7lq7_y+z-E,AB,y+z,7JMX,H+L,1
7o0s_A-B,AG,B,7NWJ,A,1
4xx1_H+L-A,AG,A,4X96,A,1
4xx1_H+L-A,AG,A,4X96,B,2
4xx1_H+L-A,AG,A,4X96,C,3
4xx1_H+L-A,AG,A,4X96,D,4
4xx1_H+L-A,AG,A,5TXF,A,1
4xx1_H+L-A,AG,A,5TXF,B,2
4xx1_H+L-A,AG,A,5TXF,C,3
4xx1_H+L-A,AG,A,5TXF,D,4
4xx1_H+L-A,AG,A,6MVD,A,1
4xx1_H+L-A,AG,A,6MVD,B,2
7mxl_J+K-C,AG,C,4A87,A,1
7mxl_J+K-C,AG,C,4BTZ,A,1
7mxl_J+K-C,AG,C,4A83,A,1
7mxl_J+K-C,AG,C,4A80,A,1
7mxl_J+K-C,AG,C,4A85,A,1
6wj1_J+K-D+C,AB,J+K,6WJ0,L+L,1
6ul6_C-A,AG,A,3V0C,A,1
2ny0_D+C-A,AB,D+C,1RZ8,B+A,1
2ny0_D+C-A,AB,D+C,1RZ8,D+C,2
4n1c_B-C,AG,C,7BYP,A,1
4n1c_B-C,AG,C,7CDO,A,1
4n1c_B-C,AG,C,7CDM,A,1
1g6v_K-A,AB,K,1F2X,K,1
1g6v_K-A,AB,K,1F2X,L,2
1g6v_K-A,AG,A,6OE0,A,1
1g6v_K-A,AG,A,4FU5,A,1
1g6v_K-A,AG,A,4FPT,A,1
1g6v_K-A,AG,A,6T4O,A,1
1g6v_K-A,AG,A,6S9Z,A,1
