candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
4n1h_D|C_4,B:U,4N1H,3.0,xray,D,C,4n1h,3.0,xray,D,5ZFL,1.5,xray,A,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_B|A_4,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_D|C_3,B:U,4N1H,3.0,xray,D,C,4n1h,3.0,xray,D,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_B|A_2,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4n1h_B|A_3,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4n1h_D|C_0,B:U,4N1H,3.0,xray,D,C,4n1h,3.0,xray,D,5GHX,1.24,xray,A,0,3,NA,0,0,0,0,0,0,0,0
4n1h_D|C_1,B:U,4N1H,3.0,xray,D,C,4n1h,3.0,xray,D,5GHX,1.24,xray,B,0,3,NA,0,0,0,0,0,0,0,0
4n1h_B|A_7,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,5ZFL,1.5,xray,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_D|C_5,B:U,4N1H,3.0,xray,D,C,4n1h,3.0,xray,D,5ZFL,1.5,xray,B,0,3,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_B|A_0,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_B|A_1,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_B|A_5,B:U,4N1H,3.0,xray,B,A,4n1h,3.0,xray,B,2WK0,1.65,xray,B,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
4n1h_D|C_2,B:U,4N1H,3.0,xray,D,C,4n1h,3.0,xray,D,2WK0,1.65,xray,A,0,9,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
