candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6qb6_H+L|A_3,U:U,6QB6,2.24,xray,H:L,A,6QBC,1.56,xray,H:L,6FS1,1.6,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5mev_H+L|A_4,B:U,5MEV,2.94,xray,H:L,A,5mev,2.94,xray,H:L,6FS1,1.6,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5mev_H+L|A_5,B:U,5MEV,2.94,xray,H:L,A,5mev,2.94,xray,H:L,6FS1,1.6,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6qb6_H+L|A_1,U:U,6QB6,2.24,xray,H:L,A,6QBC,1.56,xray,H:L,5KU9,2.2,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6qb6_H+L|A_2,U:U,6QB6,2.24,xray,H:L,A,6QBC,1.56,xray,H:L,6FS1,1.6,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5mev_H+L|A_0,B:U,5MEV,2.94,xray,H:L,A,5mev,2.94,xray,H:L,5KU9,2.2,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5mev_H+L|A_1,B:U,5MEV,2.94,xray,H:L,A,5mev,2.94,xray,H:L,5KU9,2.2,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6qb6_H+L|A_4,U:U,6QB6,2.24,xray,H:L,A,6QBC,1.56,xray,H:L,6FS2,2.55,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6qb6_H+L|A_5,U:U,6QB6,2.24,xray,H:L,A,6QBC,1.56,xray,H:L,6FS2,2.55,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5mev_H+L|A_2,B:U,5MEV,2.94,xray,H:L,A,5mev,2.94,xray,H:L,6FS2,2.55,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5mev_H+L|A_3,B:U,5MEV,2.94,xray,H:L,A,5mev,2.94,xray,H:L,6FS2,2.55,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
