comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps,one_side_gaps,long_gaps,total_gaps
1mlc_B+A|E,U:U,0,1MLC,B:A,E,1MLB,B:A,6RO3,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0
1mlc_B+A|E,U:U,2,1MLC,B:A,E,1MLB,B:A,6RT3,A,0,0,NA,1,0,0,1
1mlc_B+A|E,U:U,3,1MLC,B:A,E,1MLB,B:A,6F9Z,A,0,0,NA,0,0,0,0
1mlc_B+A|E,U:U,4,1MLC,B:A,E,1MLB,B:A,6ABN,A,0,0,NA,0,0,0,0
1mlc_D+C|F,U:U,0,1MLC,D:C,F,1MLB,B:A,6F9Y,A,0,0,NA,0,0,0,0
1mlc_D+C|F,U:U,1,1MLC,D:C,F,1MLB,B:A,6FSJ,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0
1mlc_D+C|F,U:U,2,1MLC,D:C,F,1MLB,B:A,6F9Z,A,0,0,NA,0,0,0,0
1mlc_D+C|F,U:U,3,1MLC,D:C,F,1MLB,B:A,6RO3,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0
1mlc_D+C|F,U:U,4,1MLC,D:C,F,1MLB,B:A,6RT3,A,0,0,NA,1,0,0,1
1mlc_D+C|F,U:U,5,1MLC,D:C,F,1MLB,B:A,6GNL,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0
1mlc_D+C|F,U:U,6,1MLC,D:C,F,1MLB,B:A,6G8A,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0
1mlc_D+C|F,U:U,7,1MLC,D:C,F,1MLB,B:A,6ABN,A,0,0,NA,0,0,0,0
1mlc_D+C|F,U:U,8,1MLC,D:C,F,1MLB,B:A,6ADF,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0
