candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4n1e_B|I_0,B:U,4N1E,2.23,xray,B,I,4n1e,2.23,xray,B,6AGR,1.22,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_B|I_1,B:U,4N1E,2.23,xray,B,I,4n1e,2.23,xray,B,6G8A,1.14,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_B|I_2,B:U,4N1E,2.23,xray,B,I,4n1e,2.23,xray,B,6RO3,1.03,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_B|I_3,B:U,4N1E,2.23,xray,B,I,4n1e,2.23,xray,B,6ADF,1.08,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_B|I_4,B:U,4N1E,2.23,xray,B,I,4n1e,2.23,xray,B,6K5Q,1.18,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_C|J_1,B:U,4N1E,2.23,xray,C,J,4n1e,2.23,xray,C,6A10,1.13,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_C|J_2,B:U,4N1E,2.23,xray,C,J,4n1e,2.23,xray,C,6A10,1.13,xray,C,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_C|J_3,B:U,4N1E,2.23,xray,C,J,4n1e,2.23,xray,C,6ADF,1.08,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_C|J_4,B:U,4N1E,2.23,xray,C,J,4n1e,2.23,xray,C,6RO3,1.03,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_C|J_5,B:U,4N1E,2.23,xray,C,J,4n1e,2.23,xray,C,6F1O,0.96,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_C|J_6,B:U,4N1E,2.23,xray,C,J,4n1e,2.23,xray,C,6G8A,1.14,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_G|L_0,B:U,4N1E,2.23,xray,G,L,4n1e,2.23,xray,G,6FA0,1.3,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_G|L_1,B:U,4N1E,2.23,xray,G,L,4n1e,2.23,xray,G,6F9X,1.25,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_G|L_2,B:U,4N1E,2.23,xray,G,L,4n1e,2.23,xray,G,6F9Z,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_G|L_3,B:U,4N1E,2.23,xray,G,L,4n1e,2.23,xray,G,6F9Y,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_G|L_4,B:U,4N1E,2.23,xray,G,L,4n1e,2.23,xray,G,6F1O,0.96,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_H|L_0,B:U,4N1E,2.23,xray,H,L,4n1e,2.23,xray,H,6FA0,1.3,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_H|L_1,B:U,4N1E,2.23,xray,H,L,4n1e,2.23,xray,H,6F9X,1.25,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_H|L_2,B:U,4N1E,2.23,xray,H,L,4n1e,2.23,xray,H,6F9Z,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_H|L_3,B:U,4N1E,2.23,xray,H,L,4n1e,2.23,xray,H,6F9Y,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_H|L_4,B:U,4N1E,2.23,xray,H,L,4n1e,2.23,xray,H,6F1O,0.96,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_D|J_0,B:U,4N1E,2.23,xray,D,J,4n1e,2.23,xray,D,6RT3,1.05,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_D|J_1,B:U,4N1E,2.23,xray,D,J,4n1e,2.23,xray,D,6G8A,1.14,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_D|J_2,B:U,4N1E,2.23,xray,D,J,4n1e,2.23,xray,D,6F9Z,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_D|J_3,B:U,4N1E,2.23,xray,D,J,4n1e,2.23,xray,D,6RO3,1.03,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_D|J_4,B:U,4N1E,2.23,xray,D,J,4n1e,2.23,xray,D,6O2H,1.21,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_A|I_0,B:U,4N1E,2.23,xray,A,I,4n1e,2.23,xray,A,6ABN,1.17,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_A|I_1,B:U,4N1E,2.23,xray,A,I,4n1e,2.23,xray,A,6F9Z,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_A|I_2,B:U,4N1E,2.23,xray,A,I,4n1e,2.23,xray,A,6F1P,1.12,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_A|I_3,B:U,4N1E,2.23,xray,A,I,4n1e,2.23,xray,A,6O2H,1.21,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_A|I_4,B:U,4N1E,2.23,xray,A,I,4n1e,2.23,xray,A,6ADF,1.08,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_F|K_0,B:U,4N1E,2.23,xray,F,K,4n1e,2.23,xray,F,6BO1,1.24,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_F|K_1,B:U,4N1E,2.23,xray,F,K,4n1e,2.23,xray,F,6F2J,1.3,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_F|K_2,B:U,4N1E,2.23,xray,F,K,4n1e,2.23,xray,F,6F9Z,1.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_F|K_3,B:U,4N1E,2.23,xray,F,K,4n1e,2.23,xray,F,6AGN,1.08,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4n1e_F|K_4,B:U,4N1E,2.23,xray,F,K,4n1e,2.23,xray,F,6FA0,1.3,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
