candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
6gk4_F|D_3,B:U,6GK4,2.91,xray,F,D,6gk4,2.91,xray,F,2PZE,1.7,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_C|A_0,B:U,6GK4,2.91,xray,C,A,6gk4,2.91,xray,C,5TFA,1.87,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_C|A_1,B:U,6GK4,2.91,xray,C,A,6gk4,2.91,xray,C,5TF8,1.86,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_F|D_0,B:U,6GK4,2.91,xray,F,D,6gk4,2.91,xray,F,2PZG,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_F|D_2,B:U,6GK4,2.91,xray,F,D,6gk4,2.91,xray,F,5TF8,1.86,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_F|D_4,B:U,6GK4,2.91,xray,F,D,6gk4,2.91,xray,F,2PZE,1.7,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_F|D_5,B:U,6GK4,2.91,xray,F,D,6gk4,2.91,xray,F,5TFJ,1.85,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_F|D_6,B:U,6GK4,2.91,xray,F,D,6gk4,2.91,xray,F,5TFA,1.87,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_C|A_2,B:U,6GK4,2.91,xray,C,A,6gk4,2.91,xray,C,2PZG,1.8,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
6gk4_C|A_3,B:U,6GK4,2.91,xray,C,A,6gk4,2.91,xray,C,2PZG,1.8,xray,B,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0
