candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
3ld8_C+B|A_7,B:U,3LD8,2.7,xray,C:B,A,3ld8,2.7,xray,C:B,6MEV,2.6,xray,H,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_3,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,D,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_7,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,H,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ld8_C+B|A_0,B:U,3LD8,2.7,xray,C:B,A,3ld8,2.7,xray,C:B,6MEV,2.6,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ld8_C+B|A_1,B:U,3LD8,2.7,xray,C:B,A,3ld8,2.7,xray,C:B,6MEV,2.6,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ld8_C+B|A_2,B:U,3LD8,2.7,xray,C:B,A,3ld8,2.7,xray,C:B,6MEV,2.6,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ld8_C+B|A_3,B:U,3LD8,2.7,xray,C:B,A,3ld8,2.7,xray,C:B,6MEV,2.6,xray,D,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ld8_C+B|A_4,B:U,3LD8,2.7,xray,C:B,A,3ld8,2.7,xray,C:B,6MEV,2.6,xray,E,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_0,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_1,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_2,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,C,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_4,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,E,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_5,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,F,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
3ldb_C+B|A_6,B:U,3LDB,2.7,xray,C:B,A,3ldb,2.7,xray,C:B,6MEV,2.6,xray,G,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0
