candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6bf7_C+D|A_1,B:U,6BF7,6.5,electronMicroscopy,C:D,A,6bf7,6.5,electronMicroscopy,C:D,4GSF,2.7,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6bf7_C+D|A_2,B:U,6BF7,6.5,electronMicroscopy,C:D,A,6bf7,6.5,electronMicroscopy,C:D,4GSF,2.7,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6b7z_E+F|B_0,B:U,6B7Z,6.5,electronMicroscopy,E:F,B,6b7z,6.5,electronMicroscopy,E:F,3P7L,2.08,xray,A,0,44,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6b7z_E+F|B_1,B:U,6B7Z,6.5,electronMicroscopy,E:F,B,6b7z,6.5,electronMicroscopy,E:F,4GSF,2.7,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6b7z_E+F|B_2,B:U,6B7Z,6.5,electronMicroscopy,E:F,B,6b7z,6.5,electronMicroscopy,E:F,4GSF,2.7,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5uoe_P+Q|C_0,B:U,5UOE,3.8,xray,P:Q,C,5uoe,3.8,xray,P:Q,4GSF,2.7,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5uoe_P+Q|C_1,B:U,5UOE,3.8,xray,P:Q,C,5uoe,3.8,xray,P:Q,4GSF,2.7,xray,B,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5uoe_P+Q|C_2,B:U,5UOE,3.8,xray,P:Q,C,5uoe,3.8,xray,P:Q,3P7L,2.08,xray,A,0,45,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6b7z_C+D|A_0,B:U,6B7Z,6.5,electronMicroscopy,C:D,A,6b7z,6.5,electronMicroscopy,C:D,4GSF,2.7,xray,A,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6b7z_C+D|A_1,B:U,6B7Z,6.5,electronMicroscopy,C:D,A,6b7z,6.5,electronMicroscopy,C:D,4GSF,2.7,xray,B,0,3,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
