candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
5u4m_B|A_1,B:U,5U4M,2.5,xray,B,A,5u4m,2.5,xray,B,4HV3,1.54,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4m_B|A_3,B:U,5U4M,2.5,xray,B,A,5u4m,2.5,xray,B,4MX5,1.52,xray,X,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4l_B|A_1,B:U,5U4L,2.5,xray,B,A,5u4l,2.5,xray,B,4HUO,1.52,xray,X,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4l_B|A_2,B:U,5U4L,2.5,xray,B,A,5u4l,2.5,xray,B,4MX5,1.52,xray,X,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5j56_B|A_3,B:U,5J56,1.8,xray,B,A,5j56,1.8,xray,B,1J1M,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4m_B|A_0,B:U,5U4M,2.5,xray,B,A,5u4m,2.5,xray,B,3PX8,1.29,xray,X,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4l_B|A_3,B:U,5U4L,2.5,xray,B,A,5u4l,2.5,xray,B,3PX8,1.29,xray,X,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5j56_B|A_1,B:U,5J56,1.8,xray,B,A,5j56,1.8,xray,B,4MX5,1.52,xray,X,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5j56_B|A_2,B:U,5J56,1.8,xray,B,A,5j56,1.8,xray,B,4HUO,1.52,xray,X,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4m_B|A_2,B:U,5U4M,2.5,xray,B,A,5u4m,2.5,xray,B,4HUO,1.52,xray,X,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
5u4l_B|A_0,B:U,5U4L,2.5,xray,B,A,5u4l,2.5,xray,B,1J1M,1.5,xray,A,0,1,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
