candidate_name,type,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_chain_ids_u,ag_pdb_id_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
5grj_H+L|A_0,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,A,0,0,NA,0,0,0,4,0,1,0,5
5grj_H+L|A_1,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,A,0,0,NA,0,0,0,4,0,1,0,5
5grj_H+L|A_2,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,A,0,0,NA,0,0,0,4,0,1,0,5
5grj_H+L|A_4,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,B,0,0,NA,0,0,0,4,0,0,0,4
5grj_H+L|A_5,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,B,0,0,NA,0,0,0,4,0,0,0,4
5grj_H+L|A_6,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,A,0,0,NA,0,0,0,4,0,1,0,5
5grj_H+L|A_7,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,A,0,0,NA,0,0,0,4,0,1,0,5
5grj_H+L|A_8,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,A,0,0,NA,0,0,0,4,0,1,0,5
5grj_H+L|A_9,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,B,0,0,NA,0,0,0,4,0,0,0,4
5grj_H+L|A_10,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,B,0,0,NA,0,0,0,4,0,0,0,4
5grj_H+L|A_11,U:U,5GRJ,H:L,A,4NKI,H:L,3BIS,B,0,0,NA,0,0,0,4,0,0,0,4
