candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
1fe8_H+L|A_3,B:U,1FE8,2.03,xray,H:L,A,1fe8,2.03,xray,H:L,1AO3,2.2,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_J+N|C_2,B:U,1FE8,2.03,xray,J:N,C,1fe8,2.03,xray,J:N,1AO3,2.2,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_J+N|C_3,B:U,1FE8,2.03,xray,J:N,C,1fe8,2.03,xray,J:N,1AO3,2.2,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_I+M|B_2,B:U,1FE8,2.03,xray,I:M,B,1fe8,2.03,xray,I:M,1ATZ,1.8,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_I+M|B_3,B:U,1FE8,2.03,xray,I:M,B,1fe8,2.03,xray,I:M,1ATZ,1.8,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_H+L|A_0,B:U,1FE8,2.03,xray,H:L,A,1fe8,2.03,xray,H:L,1ATZ,1.8,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_H+L|A_2,B:U,1FE8,2.03,xray,H:L,A,1fe8,2.03,xray,H:L,1AO3,2.2,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_J+N|C_0,B:U,1FE8,2.03,xray,J:N,C,1fe8,2.03,xray,J:N,1ATZ,1.8,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_J+N|C_1,B:U,1FE8,2.03,xray,J:N,C,1fe8,2.03,xray,J:N,1ATZ,1.8,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_I+M|B_0,B:U,1FE8,2.03,xray,I:M,B,1fe8,2.03,xray,I:M,1AO3,2.2,xray,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
1fe8_I+M|B_1,B:U,1FE8,2.03,xray,I:M,B,1fe8,2.03,xray,I:M,1AO3,2.2,xray,B,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
