candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
4rgn_D+E|A_0,B:U,4RGN,2.7,xray,D:E,A,4rgn,2.7,xray,D:E,3SEB,1.48,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_D+E|A_1,B:U,4RGN,2.7,xray,D:E,A,4rgn,2.7,xray,D:E,1SE4,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_D+E|A_2,B:U,4RGN,2.7,xray,D:E,A,4rgn,2.7,xray,D:E,1GOZ,2.0,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_D+E|A_3,B:U,4RGN,2.7,xray,D:E,A,4rgn,2.7,xray,D:E,1GOZ,2.0,xray,B,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_D+E|A_4,B:U,4RGN,2.7,xray,D:E,A,4rgn,2.7,xray,D:E,1SE3,2.3,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_D+E|A_6,B:U,4RGN,2.7,xray,D:E,A,4rgn,2.7,xray,D:E,3GP7,1.9,xray,B,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_0,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,1GOZ,2.0,xray,A,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_1,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,1GOZ,2.0,xray,B,0,1,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_2,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,1SE4,1.9,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_3,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,3SEB,1.48,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_4,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,3GP7,1.9,xray,A,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_5,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,3GP7,1.9,xray,B,0,3,NA,0,0,0,0,0,0,0,0,NA,NA,NA
4rgn_F+G|S_6,B:U,4RGN,2.7,xray,F:G,S,4rgn,2.7,xray,F:G,1SE3,2.3,xray,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
