candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6ayz_R+C|M_1,B:U,6AYZ,2.1,xray,R:C,M,6ayz,2.1,xray,R:C,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ayz_R+C|M_2,B:U,6AYZ,2.1,xray,R:C,M,6ayz,2.1,xray,R:C,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uek_H+L|A_0,B:U,5UEK,1.7,xray,H:L,A,5uek,1.7,xray,H:L,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uek_H+L|A_1,B:U,5UEK,1.7,xray,H:L,A,5uek,1.7,xray,H:L,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5uek_H+L|A_2,B:U,5UEK,1.7,xray,H:L,A,5uek,1.7,xray,H:L,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5ucb_H+L|B_0,B:U,5UCB,1.52,xray,H:L,B,5ucb,1.52,xray,H:L,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5ucb_H+L|B_1,B:U,5UCB,1.52,xray,H:L,B,5ucb,1.52,xray,H:L,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
5ucb_H+L|B_2,B:U,5UCB,1.52,xray,H:L,B,5ucb,1.52,xray,H:L,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ayz_B+D|A_0,B:U,6AYZ,2.1,xray,B:D,A,6ayz,2.1,xray,B:D,1ROC,1.5,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ayz_B+D|A_1,B:U,6AYZ,2.1,xray,B:D,A,6ayz,2.1,xray,B:D,2IDC,2.2,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6ayz_B+D|A_2,B:U,6AYZ,2.1,xray,B:D,A,6ayz,2.1,xray,B:D,1WG3,3.0,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
