candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6rvc_D|A_3,B:U,6RVC,2.2,xray,D,A,6rvc,2.2,xray,D,6DMO,4.1,electronMicroscopy,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_E|B_0,B:U,6RVC,2.2,xray,E,B,6rvc,2.2,xray,E,6DMB,3.9,electronMicroscopy,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_F|C_3,B:U,6RVC,2.2,xray,F,C,6rvc,2.2,xray,F,6DMB,3.9,electronMicroscopy,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_D|A_0,B:U,6RVC,2.2,xray,D,A,6rvc,2.2,xray,D,6DMB,3.9,electronMicroscopy,A,0,0,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_F|C_1,B:U,6RVC,2.2,xray,F,C,6rvc,2.2,xray,F,6MG8,3.6,electronMicroscopy,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_E|B_2,B:U,6RVC,2.2,xray,E,B,6rvc,2.2,xray,E,6DMO,4.1,electronMicroscopy,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_F|C_0,B:U,6RVC,2.2,xray,F,C,6rvc,2.2,xray,F,6OEU,3.5,electronMicroscopy,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_F|C_2,B:U,6RVC,2.2,xray,F,C,6rvc,2.2,xray,F,6DMO,4.1,electronMicroscopy,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_D|A_1,B:U,6RVC,2.2,xray,D,A,6rvc,2.2,xray,D,6OEU,3.5,electronMicroscopy,A,0,0,small molecules with 7 < n_atoms <= 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_E|B_3,B:U,6RVC,2.2,xray,E,B,6rvc,2.2,xray,E,6MG8,3.6,electronMicroscopy,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
6rvc_D|A_2,B:U,6RVC,2.2,xray,D,A,6rvc,2.2,xray,D,6MG8,3.6,electronMicroscopy,A,0,5,small molecules with n_atoms > 15 detected,0,0,0,0,0,0,0,0,NA,NA,NA
