candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u,ca_rmsds,ncac_rmsds,all_atoms_rmsds
6bfq_H+L|K_1,B:U,6BFQ,2.6,xray,H:L,K,6bfq,2.6,xray,H:L,2GMF,2.4,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6bfq_C+D|G_0,B:U,6BFQ,2.6,xray,C:D,G,6bfq,2.6,xray,C:D,2GMF,2.4,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6bfq_C+D|G_1,B:U,6BFQ,2.6,xray,C:D,G,6bfq,2.6,xray,C:D,2GMF,2.4,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6bfq_A+B|I_0,B:U,6BFQ,2.6,xray,A:B,I,6bfq,2.6,xray,A:B,2GMF,2.4,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6bfq_A+B|I_1,B:U,6BFQ,2.6,xray,A:B,I,6bfq,2.6,xray,A:B,2GMF,2.4,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6bfq_E+F|J_0,B:U,6BFQ,2.6,xray,E:F,J,6bfq,2.6,xray,E:F,2GMF,2.4,xray,A,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
6bfq_E+F|J_1,B:U,6BFQ,2.6,xray,E:F,J,6bfq,2.6,xray,E:F,2GMF,2.4,xray,B,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA
