pdb_id,comp_name,candidate_type,candidate_pdb_id,candidate_chain_ids
6nip,6nip_H+L|Z,AG,5JHM,A
6nip,6nip_H+L|Z,AB,6MTX,H:L
6nip,6nip_H+L|Z,AB,6NIS,H:L
3ulu,3ulu_D+C|A,AG,1ZIW,A
3ulu,3ulu_D+C|A,AG,2A0Z,A
3ulu,3ulu_D+C|A,AB,3ULS,B:A
1vfb,1vfb_B+A|C,AG,6RO3,A
1vfb,1vfb_B+A|C,AG,6RT3,A
1vfb,1vfb_B+A|C,AG,6ABN,A
1vfb,1vfb_B+A|C,AG,6F9Y,A
1vfb,1vfb_B+A|C,AG,6F9Z,A
1vfb,1vfb_B+A|C,AB,1VFA,B:A
1vfb,1vfb_B+A|C,AB,1A7Q,H:L
1vfb,1vfb_B+A|C,AB,1A7N,H:L
1vfb,1vfb_B+A|C,AB,1A7P,H:L
1vfb,1vfb_B+A|C,AB,1A7R,H:L
6mfp,6mfp_H+L|G,AG,4DKP,A
6mfp,6mfp_H+L|G,AG,4DKR,A
6mfp,6mfp_H+L|G,AG,6ONF,A
6mfp,6mfp_H+L|G,AG,4DKQ,A
6mfp,6mfp_H+L|G,AG,4RZ8,A
6mfp,6mfp_H+L|G,AB,6MFJ,A:B
6s3t,6s3t_N+M|A,AG,6RUX,A
6s3t,6s3t_N+M|A,AG,6RQG,A
6s3t,6s3t_N+M|A,AB,6RNN,D:C
5x0t,5x0t_A+B|E,AG,3I84,A
5x0t,5x0t_A+B|E,AG,3I85,A
5x0t,5x0t_A+B|E,AG,3B5H,A
5x0t,5x0t_A+B|E,AB,5X4G,A:B
4s10,4s10_B|D,AG,5FAF,A
4s10,4s10_B|D,AG,6QW3,A
4s10,4s10_B|D,AG,1KCQ,A
4s10,4s10_B|D,AG,5O2Z,A
4s10,4s10_B|D,AG,5FAE,A
4s10,4s10_B|D,AB,2X1P,A
4s10,4s10_B|D,AB,4S11,A
6pz8,6pz8_C+G|J,AG,6Q04,A
6pz8,6pz8_C+G|J,AG,6Q06,A
6pz8,6pz8_C+G|J,AG,6Q05,A
6pz8,6pz8_C+G|J,AG,6Q07,A
6pz8,6pz8_C+G|J,AG,5X59,A
6pz8,6pz8_C+G|J,AB,6PXG,A:B
4i2x,4i2x_D+C|F,AB,3DIF,B:A
3eob,3eob_H+L|I,AG,1MJN,A
3eob,3eob_H+L|I,AG,2ICA,A
