comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,resolution_b,resolution_method_b,ab_pdb_id_u,ab_chain_ids_u,ab_resolution_u,ab_resolution_method_u,ag_pdb_id_u,ag_chain_ids_u,ag_resolution_u,ag_resolution_method_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message
6kyz_B+C-A,B:U,0,6kyz,B+C,A,1,X-ray,6kyz,B+C,1,X-ray,2IN2,A,100,UNKNOWN,0,0,NA
6kyz_E+F-D,B:U,0,6kyz,E+F,D,1,X-ray,6kyz,E+F,1,X-ray,2IN2,A,100,UNKNOWN,0,0,NA
3qa3_B+A-E,B:U,0,3qa3,B+A,E,3,X-ray,3qa3,B+A,3,X-ray,4XW2,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4u3x_A-B,B:U,0,4u3x,A,B,2,X-ray,4u3x,A,2,X-ray,7CDO,A,1,X-ray,0,0,NA
4u3x_A-B,B:U,1,4u3x,A,B,2,X-ray,4u3x,A,2,X-ray,7NKF,A,1,X-ray,0,0,NA
4u3x_A-B,B:U,2,4u3x,A,B,2,X-ray,4u3x,A,2,X-ray,7AC2,A,1,X-ray,0,0,NA
5bk2_C+D-B,B:U,0,5bk2,C+D,B,2,X-ray,5bk2,C+D,2,X-ray,5ZCA,A,1,X-ray,0,5,small molecules with 7 < n_atoms <= 15 detected
5bk2_C+D-B,B:U,1,5bk2,C+D,B,2,X-ray,5bk2,C+D,2,X-ray,6ZIS,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5bk2_C+D-B,B:U,2,5bk2,C+D,B,2,X-ray,5bk2,C+D,2,X-ray,4PE2,A,1,X-ray,0,0,NA
5bk2_C+D-B,B:U,3,5bk2,C+D,B,2,X-ray,5bk2,C+D,2,X-ray,5B3Y,A,1,X-ray,0,0,NA
5bk2_C+D-B,B:U,4,5bk2,C+D,B,2,X-ray,5bk2,C+D,2,X-ray,6ZHO,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6bdz_H+L-A,B:U,0,6bdz,H+L,A,3,X-ray,6bdz,H+L,3,X-ray,6BE6,A,2,X-ray,0,0,NA
6bdz_H+L-A,B:U,1,6bdz,H+L,A,3,X-ray,6bdz,H+L,3,X-ray,6BE6,B,2,X-ray,0,0,NA
6bdz_H+L-A,B:U,2,6bdz,H+L,A,3,X-ray,6bdz,H+L,3,X-ray,6BE6,C,2,X-ray,0,0,NA
6bdz_H+L-A,B:U,3,6bdz,H+L,A,3,X-ray,6bdz,H+L,3,X-ray,6BE6,D,2,X-ray,0,0,NA
3pnw_W+V-X,B:U,0,3pnw,W+V,X,2,X-ray,3pnw,W+V,2,X-ray,5YJ8,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
3pnw_W+V-X,B:U,1,3pnw,W+V,X,2,X-ray,3pnw,W+V,2,X-ray,3S6W,A,1,X-ray,0,0,NA
3pnw_W+V-X,B:U,2,3pnw,W+V,X,2,X-ray,3pnw,W+V,2,X-ray,3PMT,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
7o0s_A-B,B:U,0,7o0s,A,B,1,X-ray,7o0s,A,1,X-ray,7NWJ,A,100,UNKNOWN,0,0,NA
4xx1_H+L-A,B:U,0,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,4X96,A,8,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4xx1_H+L-A,B:U,1,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,4X96,B,8,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4xx1_H+L-A,B:U,2,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,4X96,C,8,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4xx1_H+L-A,B:U,3,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,4X96,D,8,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4xx1_H+L-A,B:U,4,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,5TXF,A,3,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4xx1_H+L-A,B:U,5,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,5TXF,B,3,X-ray,0,0,NA
4xx1_H+L-A,B:U,6,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,5TXF,C,3,X-ray,0,0,NA
4xx1_H+L-A,B:U,7,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,5TXF,D,3,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4xx1_H+L-A,B:U,8,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,6MVD,A,3,X-ray,0,0,small molecules with n_atoms > 15 detected
4xx1_H+L-A,B:U,9,4xx1,H+L,A,3,X-ray,4xx1,H+L,3,X-ray,6MVD,B,3,X-ray,0,0,small molecules with n_atoms > 15 detected
7mxl_J+K-C,B:U,0,7mxl,J+K,C,3,EM,7mxl,J+K,3,EM,4A87,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
7mxl_J+K-C,B:U,1,7mxl,J+K,C,3,EM,7mxl,J+K,3,EM,4BTZ,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
7mxl_J+K-C,B:U,2,7mxl,J+K,C,3,EM,7mxl,J+K,3,EM,4A83,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
7mxl_J+K-C,B:U,3,7mxl,J+K,C,3,EM,7mxl,J+K,3,EM,4A80,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
7mxl_J+K-C,B:U,4,7mxl,J+K,C,3,EM,7mxl,J+K,3,EM,4A85,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6ul6_C-A,B:U,0,6ul6,C,A,2,X-ray,6ul6,C,2,X-ray,3V0C,A,4,X-ray,0,0,NA
4n1c_B-C,B:U,0,4n1c,B,C,1,X-ray,4n1c,B,1,X-ray,7BYP,A,1,X-ray,0,0,NA
4n1c_B-C,B:U,1,4n1c,B,C,1,X-ray,4n1c,B,1,X-ray,7CDO,A,1,X-ray,0,0,NA
4n1c_B-C,B:U,2,4n1c,B,C,1,X-ray,4n1c,B,1,X-ray,7CDM,A,1,X-ray,0,0,NA
1g6v_K-A,U:U,0,1g6v,K,A,3,X-ray,1F2X,K,2,X-ray,6OE0,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
1g6v_K-A,U:U,1,1g6v,K,A,3,X-ray,1F2X,L,2,X-ray,6OE0,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
1g6v_K-A,U:U,2,1g6v,K,A,3,X-ray,1F2X,K,2,X-ray,4FU5,A,0,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1g6v_K-A,U:U,3,1g6v,K,A,3,X-ray,1F2X,L,2,X-ray,4FU5,A,0,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1g6v_K-A,U:U,4,1g6v,K,A,3,X-ray,1F2X,K,2,X-ray,4FPT,A,0,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1g6v_K-A,U:U,5,1g6v,K,A,3,X-ray,1F2X,L,2,X-ray,4FPT,A,0,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1g6v_K-A,U:U,6,1g6v,K,A,3,X-ray,1F2X,K,2,X-ray,6T4O,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1g6v_K-A,U:U,7,1g6v,K,A,3,X-ray,1F2X,L,2,X-ray,6T4O,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1g6v_K-A,U:U,8,1g6v,K,A,3,X-ray,1F2X,K,2,X-ray,6S9Z,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
1g6v_K-A,U:U,9,1g6v,K,A,3,X-ray,1F2X,L,2,X-ray,6S9Z,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
5dup_H+L-A,B:U,0,5dup,H+L,A,3,X-ray,5dup,H+L,3,X-ray,5DUT,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5fhc_A+B-J,U:U,0,5fhc,A+B,J,6,X-ray,5FHB,H+L,1,X-ray,2LCY,A,100,UNKNOWN,0,0,NA
3ulu_D+C-A,U:U,0,3ulu,D+C,A,3,X-ray,3ULS,H+L,2,X-ray,1ZIW,A,2,X-ray,0,4,small molecules with 7 < n_atoms <= 15 detected
3ulu_D+C-A,U:U,1,3ulu,D+C,A,3,X-ray,3ULS,B+A,2,X-ray,1ZIW,A,2,X-ray,0,4,small molecules with 7 < n_atoms <= 15 detected
3ulu_D+C-A,U:U,2,3ulu,D+C,A,3,X-ray,3ULS,H+L,2,X-ray,2A0Z,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
3ulu_D+C-A,U:U,3,3ulu,D+C,A,3,X-ray,3ULS,B+A,2,X-ray,2A0Z,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1vfb_B+A-C,U:U,0,1vfb,B+A,C,1,X-ray,1VFA,B+A,1,X-ray,7BYP,A,1,X-ray,0,0,NA
1vfb_B+A-C,U:U,1,1vfb,B+A,C,1,X-ray,1VFA,B+A,1,X-ray,7CDO,A,1,X-ray,0,0,NA
1vfb_B+A-C,U:U,2,1vfb,B+A,C,1,X-ray,1VFA,B+A,1,X-ray,7CDM,A,1,X-ray,0,0,NA
2p42_D-C,B:U,0,2p42,D,C,1,X-ray,2p42,D,1,X-ray,8RAT,A,1,X-ray,0,0,NA
2p42_D-C,B:U,1,2p42,D,C,1,X-ray,2p42,D,1,X-ray,6ETL,A,0,X-ray,0,0,NA
2p42_D-C,B:U,2,2p42,D,C,1,X-ray,2p42,D,1,X-ray,6ETM,A,0,X-ray,0,0,NA
2p42_D-C,B:U,3,2p42,D,C,1,X-ray,2p42,D,1,X-ray,7RSA,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
2p42_D-C,B:U,4,2p42,D,C,1,X-ray,2p42,D,1,X-ray,6ETK,A,0,X-ray,0,0,NA
6rp8_h+l-c,B:U,0,6rp8,h+l,c,2,X-ray,6rp8,h+l,2,X-ray,1AH1,A,100,UNKNOWN,0,0,NA
3k74_B-A,B:U,0,3k74,B,A,1,X-ray,3k74,B,1,X-ray,7LVC,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
3k74_B-A,B:U,1,3k74,B,A,1,X-ray,3k74,B,1,X-ray,4PSS,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
3k74_B-A,B:U,2,3k74,B,A,1,X-ray,3k74,B,1,X-ray,4PSY,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
3k74_B-A,B:U,3,3k74,B,A,1,X-ray,3k74,B,1,X-ray,7D6G,A,1,Multiple methods,0,0,small molecules with n_atoms > 15 detected
3k74_B-A,B:U,4,3k74,B,A,1,X-ray,3k74,B,1,X-ray,4PTH,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
3opz_I+M-B,B:U,0,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,1MS1,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
3opz_I+M-B,B:U,1,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,1MS1,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
3opz_I+M-B,B:U,2,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,2AH2,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
3opz_I+M-B,B:U,3,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,1MS9,A,1,X-ray,0,0,NA
3opz_I+M-B,B:U,4,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,1MS9,B,1,X-ray,0,0,NA
3opz_I+M-B,B:U,5,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,1MS3,A,1,X-ray,0,0,NA
3opz_I+M-B,B:U,6,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,1MS3,B,1,X-ray,0,0,NA
3opz_I+M-B,B:U,7,3opz,I+M,B,3,X-ray,3opz,I+M,3,X-ray,3B69,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6s3t_N+M-A,U:U,0,6s3t,N+M,A,3,X-ray,6RNN,H+L,1,X-ray,6RUX,A,2,X-ray,0,0,NA
6s3t_N+M-A,U:U,1,6s3t,N+M,A,3,X-ray,6RNN,D+C,1,X-ray,6RUX,A,2,X-ray,0,0,NA
6s3t_N+M-A,U:U,2,6s3t,N+M,A,3,X-ray,6RNN,H+L,1,X-ray,6RUX,B,2,X-ray,0,0,NA
6s3t_N+M-A,U:U,3,6s3t,N+M,A,3,X-ray,6RNN,D+C,1,X-ray,6RUX,B,2,X-ray,0,0,NA
6s3t_N+M-A,U:U,4,6s3t,N+M,A,3,X-ray,6RNN,H+L,1,X-ray,6RUX,C,2,X-ray,0,0,NA
6s3t_N+M-A,U:U,5,6s3t,N+M,A,3,X-ray,6RNN,D+C,1,X-ray,6RUX,C,2,X-ray,0,0,NA
6s3t_N+M-A,U:U,6,6s3t,N+M,A,3,X-ray,6RNN,H+L,1,X-ray,6RQG,A,3,X-ray,0,0,NA
6s3t_N+M-A,U:U,7,6s3t,N+M,A,3,X-ray,6RNN,D+C,1,X-ray,6RQG,A,3,X-ray,0,0,NA
6s3t_N+M-A,U:U,8,6s3t,N+M,A,3,X-ray,6RNN,H+L,1,X-ray,6RQG,B,3,X-ray,0,0,NA
6s3t_N+M-A,U:U,9,6s3t,N+M,A,3,X-ray,6RNN,D+C,1,X-ray,6RQG,B,3,X-ray,0,0,NA
6s3t_N+M-A,U:U,10,6s3t,N+M,A,3,X-ray,6RNN,H+L,1,X-ray,6RQG,C,3,X-ray,0,0,NA
6s3t_N+M-A,U:U,11,6s3t,N+M,A,3,X-ray,6RNN,D+C,1,X-ray,6RQG,C,3,X-ray,0,0,NA
6vmj_F+E-Y,B:U,0,6vmj,F+E,Y,2,X-ray,6vmj,F+E,2,X-ray,6FTY,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6vmj_F+E-Y,B:U,1,6vmj,F+E,Y,2,X-ray,6vmj,F+E,2,X-ray,6FUT,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6vmj_F+E-Y,B:U,2,6vmj,F+E,Y,2,X-ray,6vmj,F+E,2,X-ray,6FUI,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6vmj_F+E-Y,B:U,3,6vmj,F+E,Y,2,X-ray,6vmj,F+E,2,X-ray,6QMT,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6vmj_F+E-Y,B:U,4,6vmj,F+E,Y,2,X-ray,6vmj,F+E,2,X-ray,6QMT,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6vmj_F+E-Y,B:U,5,6vmj,F+E,Y,2,X-ray,6vmj,F+E,2,X-ray,6FUH,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6h3t_I+M-B,B:U,0,6h3t,I+M,B,2,X-ray,6h3t,I+M,2,X-ray,6H3S,B,2,X-ray,0,8,small molecules with 7 < n_atoms <= 15 detected
6h3t_I+M-B,B:U,1,6h3t,I+M,B,2,X-ray,6h3t,I+M,2,X-ray,6H3S,A,2,X-ray,0,8,small molecules with 7 < n_atoms <= 15 detected
5uoe_M+N-B,B:U,0,5uoe,M+N,B,3,X-ray,5uoe,M+N,3,X-ray,4IFH,A,3,X-ray,0,0,NA
5uoe_M+N-B,B:U,1,5uoe,M+N,B,3,X-ray,5uoe,M+N,3,X-ray,4IFH,B,3,X-ray,0,0,small molecules with n_atoms > 15 detected
5uoe_M+N-B,B:U,2,5uoe,M+N,B,3,X-ray,5uoe,M+N,3,X-ray,4RE9,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
5uoe_M+N-B,B:U,3,5uoe,M+N,B,3,X-ray,5uoe,M+N,3,X-ray,4RE9,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
5ovw_I-B,B:U,0,5ovw,I,B,2,X-ray,5ovw,I,2,X-ray,1N2Z,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
5ovw_I-B,B:U,1,5ovw,I,B,2,X-ray,5ovw,I,2,X-ray,1N2Z,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
4ut6_I+M-B,B:U,0,4ut6,I+M,B,3,X-ray,4ut6,I+M,3,X-ray,4UTC,A,3,X-ray,0,0,NA
4ut6_I+M-B,B:U,1,4ut6,I+M,B,3,X-ray,4ut6,I+M,3,X-ray,4UTC,B,3,X-ray,0,0,NA
5m14_C-A,B:U,0,5m14,C,A,1,X-ray,5m14,C,1,X-ray,5B3Y,A,1,X-ray,0,2,NA
5m14_C-A,B:U,1,5m14,C,A,1,X-ray,5m14,C,1,X-ray,6ZHO,A,1,X-ray,0,3,small molecules with n_atoms > 15 detected
5m14_C-A,B:U,2,5m14,C,A,1,X-ray,5m14,C,1,X-ray,6ZIS,A,1,X-ray,0,3,small molecules with n_atoms > 15 detected
5m14_C-A,B:U,3,5m14,C,A,1,X-ray,5m14,C,1,X-ray,5ZCA,A,1,X-ray,0,2,small molecules with 7 < n_atoms <= 15 detected
5m14_C-A,B:U,4,5m14,C,A,1,X-ray,5m14,C,1,X-ray,7MQ7,A,1,X-ray,0,0,NA
4n1e_A-I,B:U,0,4n1e,A,I,2,X-ray,4n1e,A,2,X-ray,7BYP,A,1,X-ray,0,0,NA
4n1e_A-I,B:U,1,4n1e,A,I,2,X-ray,4n1e,A,2,X-ray,7CDO,A,1,X-ray,0,0,NA
4n1e_A-I,B:U,2,4n1e,A,I,2,X-ray,4n1e,A,2,X-ray,7CDM,A,1,X-ray,0,0,NA
4dn4_H+L-M,U:U,0,4dn4,H+L,M,2,X-ray,4DN3,H+L,2,X-ray,1DOL,A,2,X-ray,0,1,NA
5mev_H+L-A,B:U,0,5mev,H+L,A,2,X-ray,5mev,H+L,2,X-ray,6FS1,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5mev_H+L-A,B:U,1,5mev,H+L,A,2,X-ray,5mev,H+L,2,X-ray,6FS1,B,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5mev_H+L-A,B:U,2,5mev,H+L,A,2,X-ray,5mev,H+L,2,X-ray,5KU9,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
5mev_H+L-A,B:U,3,5mev,H+L,A,2,X-ray,5mev,H+L,2,X-ray,5KU9,B,2,X-ray,0,0,small molecules with n_atoms > 15 detected
