comp_name,in_between,one_side,long,total
6rcv_J+I|F,0,1,4,7
6rcv_H+G|F,0,2,3,7
6rcu_B+C|A,0,0,3,7
6rcu_E+D|A,0,1,4,7
6rcv_C+B|A,0,2,3,7
3ulu_D+C|A,0,1,1,5
1vfb_B+A|C,0,0,0,0
6mfp_H+L|G,0,1,0,3
6s3t_N+M|A,0,2,3,6
5x0t_A+B|E,0,1,2,6
4s10_B|D,0,1,0,2
3eob_H+L|I,0,0,0,1
4dn4_H+L|M,0,1,0,5
4m5z_H+L|A,0,0,0,3
1jps_H+L|T,0,0,0,4
5nh3_I+M|B,0,2,1,6
6pxh_C+D|A,0,0,0,2
1g7i_B+A|C,0,0,0,0
6a77_H+L|A,0,0,0,0
3eoa_H+L|I,0,0,0,1
5vl3_H+L|Q,0,1,0,6
4ogy_H+L|A,0,0,0,3
5tru_H+L|C,0,0,0,3
6hx4_H+L|B,0,0,1,3
4etq_H+L|C,0,1,1,3
5o1r_H+L|A,0,1,1,4
4ogx_H+L|A,0,0,0,3
1g7l_B+A|C,0,0,0,1
1mlc_B+A|E,0,0,0,0
3l5w_B+A|J,0,2,0,4
5ggv_H+L|Y,0,0,0,3
1bgx_H+L|T,0,1,0,1
6a4k_I+M|B,0,0,0,3
4m7l_H+L|T,0,1,0,4
5ggr_H+L|Z,0,2,0,5
6s3t_R+Q|B,0,2,3,6
1ahw_E+D|F,0,0,0,2
5vl3_A+B|R,0,1,0,6
6bpc_B+C|A,0,0,3,6
1xgr_B+A|C,0,0,0,0
3hmx_H+L|A,0,0,0,2
6qex_C+B|A,0,0,2,3
2nz9_D+C|A,0,1,0,4
4qti_H+L|U,0,0,0,3
5vco_B+A|F,0,0,0,0
4s10_A|C,0,0,0,1
1a2y_B+A|C,0,0,0,0
1nby_B+A|C,0,0,0,0
5grj_H+L|A,0,0,0,4
1g7m_B+A|C,0,0,0,0
6mfp_C+D|A,0,1,0,3
5vl3_C+D|S,0,1,0,6
6hhd_D|C,0,0,0,0
1g7h_B+A|C,0,0,0,0
5wt9_H+L|G,0,1,2,4
1mlc_D+C|F,0,0,0,0
4g6j_H+L|A,0,1,0,2
4n9o_B|A,0,0,1,3
3jab_H+L|C,0,0,0,2
3mxw_H+L|A,0,0,0,3
3hi6_H+L|A,0,1,0,1
3ulv_H+L|A,0,0,0,2
1xgq_B+A|C,0,0,0,0
6s3t_D+C|S,0,1,3,6
2w9e_H+L|A,0,0,0,2
6hhd_B|A,0,0,0,0
3l5x_H+L|A,0,2,0,3
3hi6_X+Y|B,0,1,0,2
5gs0_D+C|A,0,0,0,3
6bpc_E+F|D,0,0,3,6
5vnw_C|B,0,0,0,2
1dqj_B+A|C,0,0,0,0
5o1r_I+M|B,0,1,1,4
1p2c_B+A|C,0,0,0,1
1bvk_B+A|C,0,0,0,1
1nbz_B+A|C,0,0,0,1
3bt2_H+L|U,0,0,0,4
1g7j_B+A|C,0,0,0,0
3p11_H+L|A,0,0,0,4
2nz9_F+E|B,0,1,0,4
1s78_D+C|A,0,0,1,2
3rvx_D+C|A,0,0,1,2
5vco_D+C|E,0,0,0,0
4rfn_B+C|A,0,1,0,4
3rvw_D+C|A,0,0,1,2
5gs0_F+E|B,0,0,0,3
5if0_A+B|I,0,0,0,3
4etq_A+B|X,0,1,1,3
3eoa_B+A|J,0,0,0,1
5vl3_E+F|T,0,1,0,6
5cd5_C+D|A,0,0,0,1
1kir_B+A|C,0,0,0,0
6dbg_C|B,0,0,1,4
6qb6_H+L|A,0,1,0,5
1p2c_E+D|F,0,0,0,2
4h8w_H+L|G,0,0,0,3
2vxt_H+L|I,0,0,0,3
5ggr_A+B|Y,0,2,0,5
3ulv_D+C|A,0,1,0,5
5fec_A+B|D,0,0,0,4
3lev_H+L|A,0,0,0,1
3ulu_H+L|A,0,0,1,2
5vpg_D+C|A,0,0,1,2
5vpl_D+C|A,0,0,1,2
4pp2_D+C|E,0,0,0,0
5tru_h+l|c,0,0,0,3
3w9e_A+B|C,0,1,2,3
5vph_D+C|A,0,0,1,2
5vnw_D|A,0,0,0,2
5ies_H+L|C,0,0,0,3
4rfn_H+L|G,0,1,0,4
4g6m_H+L|A,0,0,0,0
5c7x_M+N|B,0,2,1,4
1bvk_E+D|F,0,0,0,1
5ezo_H+L|A,0,0,0,1
4ot1_H+L|A,0,1,1,4
6pxh_H+L|B,0,0,0,2
6b0s_H+L|C,0,1,0,5
5if0_H+L|G,0,0,0,3
4ogy_M+N|B,0,1,0,4
3eob_B+A|J,0,0,0,1
1wej_H+L|F,0,1,0,1
6her_B|A,0,0,0,0
