candidate_name,type,pdb_id_b,resolution_b,resolution_method_b,ab_chain_ids_b,ag_chain_ids_b,ab_pdb_id_u,ab_resolution_u,ab_resolution_method_u,ab_chain_ids_u,ag_pdb_id_u,ag_resolution_u,ag_resolution_method_u,ag_chain_ids_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message,in_between_gaps_b,one_side_gaps_b,long_gaps_b,total_gaps_b,in_between_gaps_u,one_side_gaps_u,long_gaps_u,total_gaps_u
1p2c_B+A|C_1,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,D:C,6F9Z,1.20,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_B+A|C_2,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,B:A,6RT3,1.05,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_B+A|C_3,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,D:C,6RT3,1.05,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_B+A|C_4,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,B:A,6RO3,1.03,xray,A,2,0,small molecules with n_atoms > 15 detected,0,0,0,1,0,0,0,0
1p2c_B+A|C_5,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,D:C,6RO3,1.03,xray,A,2,0,small molecules with n_atoms > 15 detected,0,0,0,1,0,0,0,0
1p2c_B+A|C_6,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,B:A,6F9Y,1.20,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_B+A|C_7,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,D:C,6F9Y,1.20,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_B+A|C_8,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,B:A,6ABN,1.17,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_B+A|C_9,U:U,1P2C,B:A,C,2.00,xray,2Q76,2.00,xray,D:C,6ABN,1.17,xray,A,2,0,NA,0,0,0,1,0,0,0,0
1p2c_E+D|F_0,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,B:A,6F9Z,1.20,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_1,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,D:C,6F9Z,1.20,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_2,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,B:A,6RT3,1.05,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_3,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,D:C,6RT3,1.05,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_4,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,B:A,6RO3,1.03,xray,A,2,0,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,0
1p2c_E+D|F_5,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,D:C,6RO3,1.03,xray,A,2,0,small molecules with n_atoms > 15 detected,0,0,0,2,0,0,0,0
1p2c_E+D|F_6,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,B:A,6F9Y,1.20,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_7,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,D:C,6F9Y,1.20,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_8,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,B:A,6ABN,1.17,xray,A,2,0,NA,0,0,0,2,0,0,0,0
1p2c_E+D|F_9,U:U,1P2C,E:D,F,2.00,xray,2Q76,2.00,xray,D:C,6ABN,1.17,xray,A,2,0,NA,0,0,0,2,0,0,0,0
